Descrição;Preço;Estrelas;TotalReviews;Url
Memoria kingston 2GB KVR6672N5/2G;R$ 55,00;3,2 de 5 estrelas;3;https://www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_electronics_sr_pg1_1?ie=UTF8&adId=A103269038OCB60BW5Y6T&url=%2F8GB-DDR3-1600MHz-Markvision-Smart%2Fdp%2FB0009JR82U%2Fref%3Dsr_1_1_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dnotebook%26qid%3D1634042091%26s%3Delectronics%26sr%3D1-1-spons%26psc%3D1&qualifier=1634042091&id=3192941951449253&widgetName=sp_atf
Capa de Notebook 15,6 Polegadas Preta Tira Preta e Branca;R$ 59,90;4,6 de 5 estrelas;7;https://www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_electronics_sr_pg1_1?ie=UTF8&adId=A03010673C0G9D6RSNQJH&url=%2FCapa-Notebook-Polegadas-Preta-Branca%2Fdp%2FB0979R1CBF%2Fref%3Dsr_1_2_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dnotebook%26qid%3D1634042091%26s%3Delectronics%26sr%3D1-2-spons%26psc%3D1&qualifier=1634042091&id=3192941951449253&widgetName=sp_atf
Capa de Notebook 15,6 Polegadas Preta Tira Vermelha;R$ 59,90;3,9 de 5 estrelas;12;https://www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_electronics_sr_pg1_1?ie=UTF8&adId=A03011672HJ3QFIFLYJ6L&url=%2FCapa-Notebook-Polegadas-Preta-Vermelha%2Fdp%2FB08X3P6RX8%2Fref%3Dsr_1_3_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dnotebook%26qid%3D1634042091%26s%3Delectronics%26sr%3D1-3-spons%26psc%3D1&qualifier=1634042091&id=3192941951449253&widgetName=sp_atf
"Notebook Lenovo Ultrafino IdeaPad S145, AMD Ryzen 5, 8GB RAM, 1TB HD, Linux 15.6"", Prata";R$ 2.999,00;4,6 de 5 estrelas;186;https://www.amazon.com.br/Notebook-Lenovo-Ultrafino-ideapad-81V7S00100/dp/B0891ZH1FL/ref=sr_1_4?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634042091&s=electronics&sr=1-4&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Notebook Lenovo Ultrafino ideapad S145 i5-1035G1 8GB 256GB SSD Windows 10 15.6"" FHD 82DJ000GBR Prata";R$ 3.324,98;4,6 de 5 estrelas;25;https://www.amazon.com.br/Lenovo-Ultrafino-S145-i5-1035G1-82DJ000GBR/dp/B098V2Y9DJ/ref=sr_1_6?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634042091&s=electronics&sr=1-6&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
SAMSUNG Chromebook SS 11.6 Intel DC 4GB 32GB XE310XBA-KT1BR;R$ 1.699,00;4,5 de 5 estrelas;237;https://www.amazon.com.br/SAMSUNG-Chromebook-11-6-Intel-XE310XBA-KT1BR/dp/B08LW3HX81/ref=sr_1_8?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634042091&s=electronics&sr=1-8&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Samsung BookIntel® Core™ i3-1115G4, 11 Geração, Windows 10 Home, 4GB, 1TB, 15.6'' Full HD LED, 1.86kg;R$ 2.699,10;3,8 de 5 estrelas;43;https://www.amazon.com.br/Samsung-BookIntel%C2%AE-i3-1115G4-Gera%C3%A7%C3%A3o-Windows/dp/B09427BLZP/ref=sr_1_9?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634042091&s=electronics&sr=1-9&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Notebook Positivo Motion Q464C Intel® Atom® Quad-Core Windows 10 Home - Cinza;R$ 1.509,55;4,0 de 5 estrelas;69;https://www.amazon.com.br/Notebook-Positivo-Motion-Quad-Core-Windows/dp/B08SMM6PW2/ref=sr_1_10?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634042091&s=electronics&sr=1-10&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Notebook Ultra 14"" Pentium 4GB 120GB SSD W10, UB320, Preto";R$ 1.529,10;4,0 de 5 estrelas;33;https://www.amazon.com.br/Notebook-Ultra-Pentium-120GB-UB320/dp/B0932LHR4Z/ref=sr_1_12?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634042091&s=electronics&sr=1-12&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Kit Pasta e Case de Notebook 15,6 Polegadas Preta;R$ 71,90;4,4 de 5 estrelas;15;https://www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg1_1?ie=UTF8&adId=A03004872711BEEKQ96ND&url=%2FPasta-Case-Notebook-Polegadas-Preta%2Fdp%2FB08LZW7HZ6%2Fref%3Dsr_1_13_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dnotebook%26qid%3D1634042091%26s%3Delectronics%26sr%3D1-13-spons%26ufe%3Dapp_do%253Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9%26psc%3D1&qualifier=1634042091&id=3192941951449253&widgetName=sp_mtf
