descricao,avaliacao,preco,url
Smartphone Moto G20 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Azul,81.0,"1.049,00",https://www.americanas.com.br/produto/3171318769?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=608bf37052131c3c8179ed04&buyboxToken=smartbuybox-acom-v2-a52bd83e-8862-4356-83ba-5a9c56655bde-2021-10-12 17:14:01-0300
Smartphone Motorola Moto G10 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 8MP - Cinza Aurora,259.0,"998,99",https://www.americanas.com.br/produto/2917268703?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=605c04fb0c070442667a4baa&buyboxToken=smartbuybox-acom-v2-23ddae1a-ae2c-4f8f-9898-d9461995fd96-2021-10-12 17:04:58-0300
Smartphone Motorola Moto G10 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 8MP - Branco Floral,270.0,"998,99",https://www.americanas.com.br/produto/2917269183?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=605c04fd0c070442667a520a&buyboxToken=smartbuybox-acom-v2-328c0e48-4199-42f8-9026-c5c24331a91e-2021-10-12 17:12:16-0300
Smartphone Motorola Moto G30 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Dark Prism,575.0,"1.419,10",https://www.americanas.com.br/produto/2917265060?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=605c05000c070442667a5641&buyboxToken=smartbuybox-acom-v2-55b62f1e-b7b8-49d0-8167-3aec904955d7-2021-10-12 17:14:01-0300
Smartphone Samsung Galaxy A01 Core 32GB 4G Wi-Fi Tela 5.3'' Dual Chip 2GB RAM Câmera 8MP + Selfie 5MP - Preto,588.0,"600,00",https://www.americanas.com.br/produto/1834712063?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=615f052909c351890db46e7e&buyboxToken=smartbuybox-acom-v2-8b56da66-5490-4526-9e58-b3b2f14aa789-2021-10-12 17:05:20-0300
Smartphone Motorola Moto G30 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - White Lilac,431.0,"1.419,10",https://www.americanas.com.br/produto/2917269458?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=605c04fb0c070442667a4bb5&buyboxToken=smartbuybox-acom-v2-2727f6ae-d371-46e8-9af1-c8ac4db6d031-2021-10-12 17:08:29-0300
Smartphone Samsung Galaxy M12 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 8MP - Preto,117.0,"959,20",https://www.americanas.com.br/produto/3163815714?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60b7508e52131c3c8127c67e&buyboxToken=smartbuybox-acom-v2-23b06d66-cd77-4ae9-80c3-83c7e122a98a-2021-10-12 17:14:01-0300
Smartphone Samsung Galaxy A32 128GB 4G Wi-Fi Tela 6.4'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 20MP - Branco,197.0,"1.457,30",https://www.americanas.com.br/produto/2969966837?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=606db32f0c07044266f02718&buyboxToken=smartbuybox-acom-v2-d37ecba3-6f55-46f2-9363-67a123738031-2021-10-12 17:07:50-0300
Smartphone Samsung Galaxy A02s 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 3GB RAM Câmera Tripla + Selfie 5MP - Azul,168.0,"791,10",https://www.americanas.com.br/produto/2655735104?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60194e630c07044266a20338&buyboxToken=smartbuybox-acom-v2-cd2ae3a0-2a81-4acf-abbd-34819c499cb6-2021-10-12 17:08:29-0300
Smartphone Samsung Galaxy A32 128GB 4G Wi-Fi Tela 6.4'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 20MP - Violeta,306.0,"1.378,60",https://www.americanas.com.br/produto/2969968331?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=606c9b330c07044266417b38&buyboxToken=smartbuybox-acom-v2-c191642a-5a9d-4308-bfb0-89490d7e3975-2021-10-12 17:09:03-0300
