descricao;Total_Reviews;preco;url;loja
Samsung Smart TV LED 40'' Tizen FHD 40T5300 2020 com WIFI HDR para Brilho e Contraste e Plataforma Tizen;656;1727.89;https://www.americanas.com.br/produto/1704351001?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60f5bc6752131c3c81e933c9&buyboxToken=smartbuybox-acom-v2-baee7701-1ab2-48b6-abd9-f7653758a750-2021-10-14 11:27:28-0300;Americanas
Smart TV LED 32'' Samsung Tizen HD 32T4300 2020 - WIFI, HDR para Brilho e Contraste com Plataforma Tizen 2 HDMI 1 USB - Preta;838;1381.96;https://www.americanas.com.br/produto/1618074503?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=614937c909c351890d8be8f4&buyboxToken=smartbuybox-acom-v2-5d827d9a-29c1-4149-bec1-67b87483c3a7-2021-10-14 11:27:43-0300;Americanas
Smart TV LED 43'' Full HD Philco PTV43E10N5SF Processador Quad Core Wi-Fi 2 HDMI 1 USB e Mídiacast;0;1699.99;https://www.americanas.com.br/produto/2680750728?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=602417010c07044266314653&buyboxToken=smartbuybox-acom-v2-22cca0d3-3ac8-4422-b0a9-1eb6b7499ac9-2021-10-14 11:27:43-0300;Americanas
"Smart TV LG 32"" HD 32LM627B Wi-Fi Bluetooth HDR Thinqai Compatível Com Inteligência Artificial";54;1599.99;https://www.americanas.com.br/produto/3397039818?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60d9d32652131c3c81fed98b&buyboxToken=smartbuybox-acom-v2-94bc5c3d-2e27-44a3-92cf-ab6e8de44e43-2021-10-14 11:27:43-0300;Americanas
"Smart TV LED 32"" Philco PTV32G52S HD e Áudio Dolby Conversor Digital Integrado 2 HDMI 1 USB Wi-Fi com Netflix";207;1399.99;https://www.americanas.com.br/produto/1322119303?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5fad957cc5c9bbe5fccfe1a7&buyboxToken=smartbuybox-acom-v2-b9905051-6135-4163-a46d-3ecfe92d19f2-2021-10-14 11:27:43-0300;Americanas
"Smart TV Android LED 32"" Semp 32S5300 Bluetooth 2 HDMI 1 USB Controle Remoto com Comando de Voz e Google Assistant";687;1423.94;https://www.americanas.com.br/produto/134511851?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5d51b70af216c95bde3fab37&buyboxToken=smartbuybox-acom-v2-5524e84f-d217-4f95-b216-fd7752753695-2021-10-14 11:19:59-0300;Americanas
Smart TV AOC Roku LED 32'' 32S5195/78 Wi-Fi 3 HDMI 1 USB com Controle Remoto com atalhos Roku Mobile Miracast;320;1448.99;https://www.americanas.com.br/produto/1515029435?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5e70d46d79bf8430cb4069ad&buyboxToken=smartbuybox-acom-v2-7055a619-7962-41ca-8b95-94b055fc04d1-2021-10-14 11:19:55-0300;Americanas
Smart TV LED 43'' Samsung 43T5300 Full HD 2 HDMI 1 USB WiFi HDR para Brilho e Contraste com Plataforma Tizen - Preta;356;2199.99;https://www.americanas.com.br/produto/1618074407?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5eb0acc379bf8430cbf3e907&buyboxToken=smartbuybox-acom-v2-5b3d21fd-f654-470f-990f-ba957212121f-2021-10-14 11:20:01-0300;Americanas
"Smart TV LG 43"" Full HD 43LM6370 Wi-Fi Bluetooth HDR Thinqai Compatível Com Inteligência Artificial";26;2389.99;https://www.americanas.com.br/produto/3397039527?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60d9d3ad52131c3c81ffa096&buyboxToken=smartbuybox-acom-v2-2ca323aa-eaec-4a0a-8255-27c0ef76c786-2021-10-14 11:19:55-0300;Americanas
"Samsung Smart TV 32"" LH32BETBLGGXZD LED 2 HDMI 1 USB";14;1365.69;https://www.americanas.com.br/produto/1943745999?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6006142c0c070442661274cc&buyboxToken=smartbuybox-acom-v2-e580e73b-a867-4579-a1fa-7ec0e3bd2c77-2021-10-14 11:19:59-0300;Americanas
