Descrição;TotalReviews;Preço;Url;Loja
Smartphone Motorola Moto G10 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 8MP - Cinza Aurora;272;988.99;https://www.americanas.com.br/produto/2917268703?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=605c04fb0c070442667a4baa&buyboxToken=smartbuybox-acom-v2-7187bf05-e1a9-45eb-b451-180901cc5fd9-2021-10-15 11:28:31-0300;Americanas
Smartphone Motorola Moto G10 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 8MP - Branco Floral;278;988.99;https://www.americanas.com.br/produto/2917269183?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=605c04fd0c070442667a520a&buyboxToken=smartbuybox-acom-v2-d21c85c7-fcfa-479b-b58c-86a0c562c195-2021-10-15 11:35:42-0300;Americanas
Smartphone Motorola Moto E7 Power 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Azul Metálico;121;645.05;https://www.americanas.com.br/produto/2910438790?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6042382a0c070442666f8d6c&buyboxToken=smartbuybox-acom-v2-28e536f0-b25d-4add-8f47-2026499e2883-2021-10-15 11:35:42-0300;Americanas
Smartphone Moto G20 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Azul;94;1049.0;https://www.americanas.com.br/produto/3171318769?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=608bf37052131c3c8179ed04&buyboxToken=smartbuybox-acom-v2-989bb034-4ee1-4a83-88b2-8d7cd5967eee-2021-10-15 11:35:42-0300;Americanas
Smartphone Motorola Moto G30 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Dark Prism;0;1310.05;https://www.americanas.com.br/produto/2917265060?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60624daa0c07044266c12a7a&buyboxToken=smartbuybox-acom-v2-98bb09a3-bd3c-4e6e-833f-0599fd134ffd-2021-10-15 11:35:42-0300;Americanas
Smartphone Samsung Galaxy A02s 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 3GB RAM Câmera Tripla + Selfie 5MP - Azul;173;759.05;https://www.americanas.com.br/produto/2655735104?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6035155a0c07044266e1d677&buyboxToken=smartbuybox-acom-v2-1804145a-aaa9-4310-a230-79f53e6a5157-2021-10-15 11:35:42-0300;Americanas
Smartphone Samsung Galaxy A32 128GB 4G Wi-Fi Tela 6.4'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 20MP - Preto;273;1329.1;https://www.americanas.com.br/produto/2969966917?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=606c9b330c07044266417bdb&buyboxToken=smartbuybox-acom-v2-d5fbaf85-6b56-40cf-99cb-d29c15cf42ed-2021-10-15 11:35:42-0300;Americanas
Smartphone Samsung Galaxy A12 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 8MP - Branco;185;924.1;https://www.americanas.com.br/produto/2655734451?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6006c8f10c07044266e90bbd&buyboxToken=smartbuybox-acom-v2-0d94da87-f636-4049-9889-71b8a610982c-2021-10-15 11:35:42-0300;Americanas
Smartphone Samsung Galaxy A32 128GB 4G Wi-Fi Tela 6.4'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 20MP - Violeta;309;1329.1;https://www.americanas.com.br/produto/2969968331?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=606c9b330c07044266417b38&buyboxToken=smartbuybox-acom-v2-aec33da3-f636-44b9-b33c-5066d3136bf3-2021-10-15 11:35:42-0300;Americanas
Smartphone Motorola Moto G30 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - White Lilac;435;1310.05;https://www.americanas.com.br/produto/2917269458?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60624d9b0c07044266c1112f&buyboxToken=smartbuybox-acom-v2-8deba499-4624-44b2-bfee-3e42fcd8023c-2021-10-15 11:28:31-0300;Americanas
