Descrição;Preço;Estrelas;TotalReviews;URL;Loja;Categoria
Notebook Acer Aspire 5 A515-54-57EN Intel Core i5;3419.1;3;34;https://www.magazineluiza.com.br/notebook-acer-aspire-5-a515-54-57en-intel-core-i5-8gb-256gb-ssd-156-full-hd-led-windows-10/p/230310100/in/ntmk/;Megazine Luiza;Notebook
"Notebook Dell Inspiron i3501-M10P 15.6"" HD 11ª Geração Intel Pentium Gold 4GB 128GB SSD Windows 10 Preto";2699.1;4;107;https://www.magazineluiza.com.br/notebook-dell-inspiron-i3501-m10p-15-6-hd-11a-geracao-intel-pentium-gold-4gb-128gb-ssd-windows-10-preto/p/kjcea27eah/in/nodl/;Megazine Luiza;Notebook
Notebook Samsung Book NP550XDA-KF2BR Intel Core i5;3329.1;4;8;https://www.magazineluiza.com.br/notebook-samsung-book-np550xda-kf2br-intel-core-i5-8gb-256gb-ssd-156-full-hd-windows-10/p/228721600/in/nsbo/;Megazine Luiza;Notebook
Notebook Dell Inspiron 15 3000 3501-A25P;2879.1;4;5;https://www.magazineluiza.com.br/notebook-dell-inspiron-15-3000-3501-a25p-intel-core-i3-4gb-256gb-ssd-156-led-windows-10/p/228079200/in/nodl/;Megazine Luiza;Notebook
Notebook HP 256 G8 Intel Core i3 8GB 256GB SSD;2924.1;4;26;https://www.magazineluiza.com.br/notebook-hp-256-g8-intel-core-i3-8gb-256gb-ssd-156-lcd-windows-10/p/228853300/in/ntmk/;Megazine Luiza;Notebook
Notebook Samsung Chromebook 11.6 HD Intel Celeron N4000 32GB e.MMC 4GB Chrome OS XE310XBA-KT1BR-ES;1538.1;4;8;https://www.magazineluiza.com.br/notebook-samsung-chromebook-11-6-hd-intel-celeron-n4000-32gb-e-mmc-4gb-chrome-os-xe310xba-kt1br-es/p/beb73f3aaa/in/chro/;Megazine Luiza;Notebook
Notebook Lenovo IdeaPad3i 82BS0005BR Intel Core i5;3599.1;5;1;https://www.magazineluiza.com.br/notebook-lenovo-ideapad3i-82bs0005br-intel-core-i5-8gb-256gb-ssd-156-lcd-windows-10/p/135302600/in/ntmk/;Megazine Luiza;Notebook
Notebook Samsung Book NP550XDA-KT2BR Intel Core i3;2564.1;3;13;https://www.magazineluiza.com.br/notebook-samsung-book-np550xda-kt2br-intel-core-i3-4gb-1tb-156-full-hd-led-windows-10/p/228721400/in/nsbo/;Megazine Luiza;Notebook
Notebook Gamer Acer Nitro 5 AN515-54-58CL Intel;5129.1;4;97;https://www.magazineluiza.com.br/notebook-gamer-acer-nitro-5-an515-54-58cl-intel-core-i5-8gb-1tb-128gb-ssd-156-nvidia-gtx-1650/p/226192400/in/ntbg/;Megazine Luiza;Notebook
Notebook Asus X515JF-EJ153T Intel Core i5 8GB 256G;3599.1;5;0;https://www.magazineluiza.com.br/notebook-asus-x515jf-ej153t-intel-core-i5-8gb-256g-ssd-156-full-hd-placa-de-video-2gb-windows-10/p/230019500/in/ntmk/;Megazine Luiza;Notebook
Notebook Asus VivoBook X543MA-GQ1300T;2069.1;2;15;https://www.magazineluiza.com.br/notebook-asus-vivobook-x543ma-gq1300t-intel-celeron-dual-core-4gb-500gb-156-windows-10/p/135320000/in/ntmk/;Megazine Luiza;Notebook
"Notebook Dell Inspiron 3501-M46S 15.6"" HD 10ª Geração Intel Core i5 8GB 256GB SSD Windows";3959.1;5;0;https://www.magazineluiza.com.br/notebook-dell-inspiron-3501-m46s-15-6-hd-10a-geracao-intel-core-i5-8gb-256gb-ssd-windows/p/ga96h10jej/in/nodl/;Megazine Luiza;Notebook
Notebook Positivo Motion Red Q464C Intel Atom;1749.0;2;81;https://www.magazineluiza.com.br/notebook-positivo-motion-red-q464c-intel-atom-quad-core-4gb-64gb-emmc-64gb-nuvem-141-led/p/135301500/in/ptvm/;Megazine Luiza;Notebook
Notebook Samsung Book NP550XDA-KO2BR Intel Celeron;2249.1;2;13;https://www.magazineluiza.com.br/notebook-samsung-book-np550xda-ko2br-intel-celeron-4gb-500gb-156-full-hd-led-windows-10/p/228721300/in/note/;Megazine Luiza;Notebook
"Notebook Dell Inspiron i3501-U10P 15.6"" HD 11ª Geração Intel Pentium Gold 4GB 128GB SSD Linux Preto";2564.1;4;38;https://www.magazineluiza.com.br/notebook-dell-inspiron-i3501-u10p-15-6-hd-11a-geracao-intel-pentium-gold-4gb-128gb-ssd-linux-preto/p/cj26d0h3fj/in/nodl/;Megazine Luiza;Notebook
Notebook Dell Inspiron 3000 3501-A10P;2564.1;5;0;https://www.magazineluiza.com.br/notebook-dell-inspiron-3000-3501-a10p-intel-pentium-gold-4gb-128gb-ssd-156-windows-10/p/232441000/in/nodl/;Megazine Luiza;Notebook
Notebook Lenovo IdeaPad3i 82BU0001BR Intel Celeron;2474.1;3;6;https://www.magazineluiza.com.br/notebook-lenovo-ideapad3i-82bu0001br-intel-celeron-4gb-128gb-ssd-156-lcd-windows-10/p/135302500/in/ntmk/;Megazine Luiza;Notebook
Notebook HP 250 G8 Intel Core i5 8GB 256GB SSD;3599.1;4;5;https://www.magazineluiza.com.br/notebook-hp-250-g8-intel-core-i5-8gb-256gb-ssd-156-lcd-windows-10/p/228575800/in/ntmk/;Megazine Luiza;Notebook
Notebook Samsung Book NP550XDA-KS1BR Intel Core i7;4319.1;4;6;https://www.magazineluiza.com.br/notebook-samsung-book-np550xda-ks1br-intel-core-i7-8gb-256gb-ssd-156-full-hd-led-windows-10/p/228721800/in/ntmk/;Megazine Luiza;Notebook
Notebook Lenovo Ideapad S145 81V70008BR;3599.1;4;123;https://www.magazineluiza.com.br/notebook-lenovo-ideapad-s145-81v70008br-amd-ryzen-5-3500u-8gb-256gb-ssd-156-windows-10/p/225444200/in/leip/;Megazine Luiza;Notebook
