descricao;preco;avaliacao;quantidade_avaliacoes;URL
Geladeira/Refrigerador Brastemp Frost Free Inverse;4399.0;4;112;https://www.magazineluiza.com.br/geladeira-refrigerador-brastemp-frost-free-inverse-443l-com-turbo-ice-bre57-akana/p/013082000/ed/rinv/
Refrigerador Electrolux Cycle Defrost 260 Litros Branco DC35A  220 Volts;1783.3;4;43;https://www.magazineluiza.com.br/refrigerador-electrolux-cycle-defrost-260-litros-branco-dc35a-220-volts/p/bag85a1eff/ed/ref2/
Geladeira/Refrigerador Frost Free cor Inox 310L Electrolux (TF39S);2324.07;4;197;https://www.magazineluiza.com.br/geladeira-refrigerador-frost-free-cor-inox-310l-electrolux-tf39s/p/dcgc6g36h3/ed/refr/
Geladeira/Refrigerador Brastemp Frost Free Duplex;2799.0;4;82;https://www.magazineluiza.com.br/geladeira-refrigerador-brastemp-frost-free-duplex-branca-375l-brm44-hbana/p/013085501/ed/refr/
Geladeira/Refrigerador Brastemp Frost Free Evox;6499.0;4;69;https://www.magazineluiza.com.br/geladeira-refrigerador-brastemp-frost-free-evox-french-door-5406l-com-ice-maker-ative-bro80/p/084246600/ed/grfd/
Geladeira/Refrigerador Consul Frost Free Duplex;3399.0;4;10;https://www.magazineluiza.com.br/geladeira-refrigerador-consul-frost-free-duplex-branca-450l-crm56hb/p/013092000/ed/refr/
Geladeira/Refrigerador Consul Frost Free Duplex;3699.0;5;9;https://www.magazineluiza.com.br/geladeira-refrigerador-consul-frost-free-duplex-evox-397l-cre44ak/p/013087200/ed/refr/
Geladeira/Refrigerador Brastemp Frost Free Duplex;3099.0;4;53;https://www.magazineluiza.com.br/geladeira-refrigerador-brastemp-frost-free-duplex-375l-brm44-hkana/p/013085700/ed/refr/
Geladeira/Refrigerador Electrolux Frost Free;2499.0;4;70;https://www.magazineluiza.com.br/geladeira-refrigerador-electrolux-frost-free-duplex-371l-dfn41-branca/p/013080601/ed/refr/
Refrigerador Electrolux Cycle Defrost 240 Litros Branco RE31- 127 Volts;1494.94;4;69;https://www.magazineluiza.com.br/refrigerador-electrolux-cycle-defrost-240-litros-branco-re31-127-volts/p/gdhk75dahe/ed/refr/
