descricao;preco;avaliacao;quantidade_avaliacoes;URL
Smart TV 50” Crystal 4K Samsung 50AU7700;3099.0;3;28;https://www.magazineluiza.com.br/smart-tv-50-crystal-4k-samsung-50au7700-wi-fi-bluetooth-hdr-alexa-built-in-3-hdmi-1-usb/p/193441200/et/tv4k/
Smart TV 65” Crystal 4K Samsung 65AU7700 Wi-Fi;4199.0;3;3;https://www.magazineluiza.com.br/smart-tv-65-crystal-4k-samsung-65au7700-wi-fi-bluetooth-hdr-alexa-built-in-3-hdmi-1-usb/p/193441500/et/tves/
Smart TV 55” Crystal 4K Samsung 55AU7700;3299.0;5;2;https://www.magazineluiza.com.br/smart-tv-55-crystal-4k-samsung-55au7700-wi-fi-bluetooth-hdr-alexa-built-in-3-hdmi-1-usb/p/193441300/et/tves/
Smart TV 60” Crystal 4K Samsung 60AU8000 Wi-Fi;3989.05;5;3;https://www.magazineluiza.com.br/smart-tv-60-crystal-4k-samsung-60au8000-wi-fi-bluetooth-hdr-alexa-built-in-3-hdmi-2-usb/p/193442000/et/tves/
Smart TV 32” HD LED TCL S615 VA 60Hz;1398.0;5;4;https://www.magazineluiza.com.br/smart-tv-32-hd-led-tcl-s615-va-60hz-android-wi-fi-e-bluetooth-google-assistente-2-hdmi/p/230531900/et/tves/
Smart TV 55” Crystal 4K Samsung 55AU8000;3324.05;5;0;https://www.magazineluiza.com.br/smart-tv-55-crystal-4k-samsung-55au8000-wi-fi-bluetooth-hdr-alexa-built-in-3-hdmi-2-usb/p/193441900/et/tves/
Smart TV 50” UHD 4K LED TCL 50P615 VA 60Hz;2299.0;5;0;https://www.magazineluiza.com.br/smart-tv-50-uhd-4k-led-tcl-50p615-va-60hz-android-wi-fi-bluetooth-hdr-3-hdmi-2-usb/p/193445100/et/tled/
Smart TV HD LED 32” Samsung 32T4300A;1519.05;4;204;https://www.magazineluiza.com.br/smart-tv-hd-led-32-samsung-32t4300a-wi-fi-hdr-2-hdmi-1-usb/p/225608200/et/tves/
Smart TV 75” Crystal 4K Samsung 75AU7700 Wi-Fi;6174.05;4;1;https://www.magazineluiza.com.br/smart-tv-75-crystal-4k-samsung-75au7700-wi-fi-bluetooth-hdr-alexa-built-in-3-hdmi-1-usb/p/193441700/et/tv4k/
Smart TV 70” Crystal 4K Samsung 70AU7700 Wi-Fi;4986.55;4;2;https://www.magazineluiza.com.br/smart-tv-70-crystal-4k-samsung-70au7700-wi-fi-bluetooth-hdr-alexa-built-in-3-hdmi-1-usb/p/193441600/et/tves/
Smart TV LED PRO 32'' HD LG 32LM 621 3 HDMI 2 USB Wi-fi Conversor Digital;1385.1;4;937;https://www.magazineluiza.com.br/smart-tv-led-pro-32-hd-lg-32lm-621-3-hdmi-2-usb-wi-fi-conversor-digital/p/haj33g91j2/et/elit/
Smart TV 65” Crystal 4K Samsung 65AU8000 Wi-Fi;4464.05;5;0;https://www.magazineluiza.com.br/smart-tv-65-crystal-4k-samsung-65au8000-wi-fi-bluetooth-hdr-alexa-built-in-3-hdmi-2-usb/p/193442100/et/tves/
Smart TV LED 43” TCL 43S6500 Full HD;1999.0;4;348;https://www.magazineluiza.com.br/smart-tv-led-43-tcl-43s6500-full-hd-android-wi-fi-2-hdmi-1-usb/p/193426800/et/elit/
Smart TV 43” Crystal 4K Samsung 43AU7700 Wi-Fi;2564.05;4;4;https://www.magazineluiza.com.br/smart-tv-43-crystal-4k-samsung-43au7700-wi-fi-bluetooth-hdr-alexa-built-in-3-hdmi-1-usb/p/193441100/et/tves/
Smart TV 50” Crystal 4K Samsung 50AU8000;3039.05;5;3;https://www.magazineluiza.com.br/smart-tv-50-crystal-4k-samsung-50au8000-wi-fi-bluetooth-hdr-alexa-built-in-3-hdmi-2-usb/p/193441800/et/tves/
Smart TV Full HD LED 43” Samsung 43T5300A;2099.0;4;149;https://www.magazineluiza.com.br/smart-tv-full-hd-led-43-samsung-43t5300a-wi-fi-hdr-2-hdmi-1-usb/p/225608100/et/tves/
"Smart TV LED 32"" HD HQ HQSTV32NP Netflix Youtube 2 HDMI 2 USB Wi-Fi";1459.0;3;169;https://www.magazineluiza.com.br/smart-tv-led-32-hd-hq-hqstv32np-netflix-youtube-2-hdmi-2-usb-wi-fi/p/beaggfbdjc/et/elit/
Smart TV Full HD LED 43” AOC 43S5195/78G;1999.0;4;166;https://www.magazineluiza.com.br/smart-tv-full-hd-led-43-aoc-43s5195-78g-wi-fi-3-hdmi-1-usb/p/193433700/et/elit/
Smart TV LED PRO 43'' Full HD LG 43LM 631 3 HDMI 2 USB Wi-fi Conversor Digital;1934.1;4;580;https://www.magazineluiza.com.br/smart-tv-led-pro-43-full-hd-lg-43lm-631-3-hdmi-2-usb-wi-fi-conversor-digital/p/gkg76gc40f/et/elit/
Smart TV 4K 55” Philips 55PUG7625/78;3039.05;5;1;https://www.magazineluiza.com.br/smart-tv-4k-55-philips-55pug7625-78-wi-fi-bluetooth-hdr10-3-hdmi-2-usb/p/193438200/et/elit/
"Smart TV LED 43"" 4K UHD LG 43UN731C 3 HDMI 2 USB Wi-Fi Assitente Virtual Bluetooth";2069.1;4;60;https://www.magazineluiza.com.br/smart-tv-led-43-4k-uhd-lg-43un731c-3-hdmi-2-usb-wi-fi-assitente-virtual-bluetooth/p/ejc728e6ab/et/tv4k/
Smart TV 32” HD LED LG 32LM627BPSB 60Hz;1614.05;3;2;https://www.magazineluiza.com.br/smart-tv-32-hd-led-lg-32lm627bpsb-60hz-wi-fi-bluetooth-2-hdmi-1-usb/p/228864100/et/tves/
Smart TV 43” Full HD LED LG 43LM6370PSB 60Hz;2374.05;5;0;https://www.magazineluiza.com.br/smart-tv-43-full-hd-led-lg-43lm6370psb-60hz-wi-fi-bluetooth-hdr-3-hdmi-2-usb/p/228884600/et/elit/
Smart TV HD LED 32” AOC 32S5195/78G;1499.0;4;126;https://www.magazineluiza.com.br/smart-tv-hd-led-32-aoc-32s5195-78g-wi-fi-3-hdmi-1-usb/p/193433600/et/elit/
Smart TV 40” LED Full HD Samsung UN40T5300AGXZD;1899.05;5;0;https://www.magazineluiza.com.br/smart-tv-40-led-full-hd-samsung-un40t5300agxzd-va-60hz-wi-fi-2-hdmi-1-usb/p/232262500/et/elit/
"Smart TV LED 50"" 4K UHD LG 50UN731C 3 HDMI 2 USB Wi-Fi Assitente Virtual Bluetooth";2609.1;4;113;https://www.magazineluiza.com.br/smart-tv-led-50-4k-uhd-lg-50un731c-3-hdmi-2-usb-wi-fi-assitente-virtual-bluetooth/p/kg042djf97/et/tv4k/
Smart TV LED 32'' HD Panasonic 32FS500B 2 HDMI 2 USB Wi-Fi Conversor Digital;1349.1;4;186;https://www.magazineluiza.com.br/smart-tv-led-32-hd-panasonic-32fs500b-2-hdmi-2-usb-wi-fi-conversor-digital/p/ke1ja8gf97/et/elit/
Smart TV 50” Ultra HD 4K LED LG 50UP7550PSF;2659.05;5;0;https://www.magazineluiza.com.br/smart-tv-50-ultra-hd-4k-led-lg-50up7550psf-60hz-wi-fi-e-bluetooth-alexa-2-hdmi-1-usb/p/228863900/et/tv4k/
"Smart TV Monitor LG 24"" LED Wi-Fi webOS 3.5 DTV Time Machine Ready Bivolt 24TL520S";1079.1;4;193;https://www.magazineluiza.com.br/smart-tv-monitor-lg-24-led-wi-fi-webos-3-5-dtv-time-machine-ready-bivolt-24tl520s/p/dcd2490d77/et/elit/
Smart TV LED 40” TCL 40S6500 Full HD Android;1899.05;4;445;https://www.magazineluiza.com.br/smart-tv-led-40-tcl-40s6500-full-hd-android-wi-fi-hdr-inteligencia-artificial-2-hdmi-usb/p/193425200/et/tled/
Smart TV 65” 4K QLED Samsung 65Q60AA;6174.05;5;0;https://www.magazineluiza.com.br/smart-tv-65-4k-qled-samsung-65q60aa-wi-fi-bluetooth-hdr-3-hdmi-2-usb/p/193442800/et/elit/
Smart TV UHD D-LED 55” Britania BTV55Q20N5SBL;3039.05;5;0;https://www.magazineluiza.com.br/smart-tv-uhd-d-led-55-britania-btv55q20n5sbl-wi-fi-4-hdmi-2-usb/p/193439500/et/elit/
Smart TV 4K 70” Philips 70PUG7625/78;5224.05;3;2;https://www.magazineluiza.com.br/smart-tv-4k-70-philips-70pug7625-78-wi-fi-bluetooth-hdr10-3-hdmi-2-usb/p/193438400/et/elit/
Smart TV 40” Full HD LED TCL S615 VA 60Hz;1698.6;5;0;https://www.magazineluiza.com.br/smart-tv-40-full-hd-led-tcl-s615-va-60hz-android-wi-fi-e-bluetooth-2-hdmi-1-usb/p/230532000/et/elit/
Smart TV 4K 65” Philips 65PUG7625/78;4844.05;5;0;https://www.magazineluiza.com.br/smart-tv-4k-65-philips-65pug7625-78-wi-fi-bluetooth-hdr10-3-hdmi-2-usb/p/193438300/et/elit/
Smart TV Full HD D-LED 42” Britania BTV42G70N5CF;1896.0;5;0;https://www.magazineluiza.com.br/smart-tv-full-hd-d-led-42-britania-btv42g70n5cf-wi-fi-3-hdmi-2-usb/p/193439400/et/elit/
Smart TV 55” 4K QLED Samsung 55Q60AA;3799.05;5;1;https://www.magazineluiza.com.br/smart-tv-55-4k-qled-samsung-55q60aa-wi-fi-bluetooth-hdr-3-hdmi-2-usb/p/193442700/et/tvql/
Smart TV 4K D-LED 58” Philips 58PUG7625/78;3514.05;5;5;https://www.magazineluiza.com.br/smart-tv-4k-d-led-58-philips-58pug7625-78-wi-fi-bluetooth-hdr-3-hdmi-2-usb/p/193439200/et/elit/
"Smart TV LED 40"" Full HD Samsung 40T5300 2 HDMI USB";1862.1;5;2;https://www.magazineluiza.com.br/smart-tv-led-40-full-hd-samsung-40t5300-2-hdmi-usb/p/jk7a3ba4e9/et/tves/
Smart TV 4K 50” Philips 50PUG7625/78;2496.0;3;14;https://www.magazineluiza.com.br/smart-tv-4k-50-philips-50pug7625-78-wi-fi-bluetooth-hdr10-3-hdmi-2-usb/p/193438100/et/elit/
"Smart TV LED 32"" Samsung LH32BETBLGGXZD";1432.25;5;21;https://www.magazineluiza.com.br/smart-tv-led-32-samsung-lh32betblggxzd/p/kkg0a49fee/et/elit/
"Smart TV LED 55"" 4K UHD LG 55UN731C 3 HDMI 2 USB Wi-Fi Assitente Virtual Bluetooth";2879.1;4;133;https://www.magazineluiza.com.br/smart-tv-led-55-4k-uhd-lg-55un731c-3-hdmi-2-usb-wi-fi-assitente-virtual-bluetooth/p/dkeh3e6a3c/et/tv4k/
"Smart TV LED 32"" HD Philco PTV32D10N5SKH 2 HDMI 2 USB Wi-Fi Integrado";1331.1;5;0;https://www.magazineluiza.com.br/smart-tv-led-32-hd-philco-ptv32d10n5skh-2-hdmi-2-usb-wi-fi-integrado/p/aa380fd5af/et/tves/
Smart TV LED 39 Britânia BTV39G60N5CH Wifi Integrado Processador Quad Core 2 HDMI 1 USB;1449.0;5;0;https://www.magazineluiza.com.br/smart-tv-led-39-britania-btv39g60n5ch-wifi-integrado-processador-quad-core-2-hdmi-1-usb/p/fd6efdj24e/et/tled/
Smart TV 65” 4K NEO QLED Mini Led Samsung 65QN85AA;9024.05;5;0;https://www.magazineluiza.com.br/smart-tv-65-4k-neo-qled-mini-led-samsung-65qn85aa-120hz-som-em-movimento-processador-ai/p/193444000/et/elit/
Smart TV Multilaser 32 HD LCD Wi-Fi USB HDMI Com conversor Digital - TL031;1169.1;5;0;https://www.magazineluiza.com.br/smart-tv-multilaser-32-hd-lcd-wi-fi-usb-hdmi-com-conversor-digital-tl031/p/ec541k1j2a/et/elit/
Smart Tv Led 43 Polegadas Full Hd Aoc Roku com Wi-Fi Entradas HDMI e USB;1799.91;4;5;https://www.magazineluiza.com.br/smart-tv-led-43-polegadas-full-hd-aoc-roku-com-wi-fi-entradas-hdmi-e-usb/p/gaehe3dge1/et/elit/
Smart TV 50 Crystal 4K Samsung 50AU7700 - Wi-Fi Bluetooth HDR Alexa Built in 3 HDMI 1 USB;2899.0;5;0;https://www.magazineluiza.com.br/smart-tv-50-crystal-4k-samsung-50au7700-wi-fi-bluetooth-hdr-alexa-built-in-3-hdmi-1-usb/p/akbgd3jfkg/et/tves/
"Smart Tv Led Crystal UHD 4K 55"" Samsung LH55BEAH Tizen Wi-Fi 3 HDMI 1 USB Bluetooth";2868.05;5;0;https://www.magazineluiza.com.br/smart-tv-led-crystal-uhd-4k-55-samsung-lh55beah-tizen-wi-fi-3-hdmi-1-usb-bluetooth/p/eg8j4djke6/et/tves/
Smart TV 43” UHD 4K LED TCL 43P615 VA 60Hz;2089.05;5;0;https://www.magazineluiza.com.br/smart-tv-43-uhd-4k-led-tcl-43p615-va-60hz-android-wi-fi-bluetooth-hdr-3-hdmi-1-usb/p/193445000/et/tled/
"Smart TV TCL LED 4K UHD HDR 50"" Android TV com Comando por controle de Voz, Google Assistant e Wi-Fi - 50P615";2695.33;5;0;https://www.magazineluiza.com.br/smart-tv-tcl-led-4k-uhd-hdr-50-android-tv-com-comando-por-controle-de-voz-google-assistant-e-wi-fi-50p615/p/cjhh7a544b/et/tves/
Smart TV 55” 4K NEO QLED Mini Led Samsung 55QN85A;5224.05;5;1;https://www.magazineluiza.com.br/smart-tv-55-4k-neo-qled-mini-led-samsung-55qn85a-120hz-som-em-movimento-processador-ai/p/193443900/et/elit/
Smart TV AOC Roku LED 32 32S5195/78 Wi-fi Miracast HDMI USB;1322.91;5;0;https://www.magazineluiza.com.br/smart-tv-aoc-roku-led-32-32s5195-78-wi-fi-miracast-hdmi-usb/p/kgggg2adea/et/elit/
Smart TV 65” 4K QLED Samsung 65Q80A Wi-Fi;7314.05;5;0;https://www.magazineluiza.com.br/smart-tv-65-4k-qled-samsung-65q80a-wi-fi-som-em-movimento-processador-ia-hdr/p/193443400/et/tv4k/
Smart TV 39” HD D-LED Philco PTV39G65N5CH;2099.0;5;0;https://www.magazineluiza.com.br/smart-tv-39-hd-d-led-philco-ptv39g65n5ch-va-60hz-wi-fi-2-hdmi-1-usb/p/230029200/et/elit/
Smart TV 50 Crystal 4K Samsung 50AU7700 - Wi-Fi Bluetooth HDR Alexa Built in 3 HDMI 1 USB;2899.0;5;0;https://www.magazineluiza.com.br/smart-tv-50-crystal-4k-samsung-50au7700-wi-fi-bluetooth-hdr-alexa-built-in-3-hdmi-1-usb/p/jh3d8k4kk9/et/tves/
"Smart Tv Led Crystal UHD 50"" Samsung LH50BEAHVGGXZD";2621.05;5;0;https://www.magazineluiza.com.br/smart-tv-led-crystal-uhd-50-samsung-lh50beahvggxzd/p/ac116ke32d/et/elit/
Smart TV 58” Crystal 4K Samsung 58AU7700 Wi-Fi;;5;0;https://www.magazineluiza.com.br/smart-tv-58-crystal-4k-samsung-58au7700-wi-fi-bluetooth-hdr-alexa-built-in-3-hdmi-1-usb/p/193441400/et/tv4k/
Smart TV Samsung LED 40 Full HD Wi-Fi Tizen;;5;0;https://www.magazineluiza.com.br/smart-tv-samsung-led-40-full-hd-wi-fi-tizen/p/bd0b8bbe23/et/tves/
Smart TV 50 Crystal 4K Samsung 50AU7700 - Wi-Fi Bluetooth HDR Alexa Built in 3 HDMI 1 USB;2899.0;5;0;https://www.magazineluiza.com.br/smart-tv-50-crystal-4k-samsung-50au7700-wi-fi-bluetooth-hdr-alexa-built-in-3-hdmi-1-usb/p/jh3d8k4kk9/et/tves/
"Smart Tv Led Crystal UHD 50"" Samsung LH50BEAHVGGXZD";2621.05;5;0;https://www.magazineluiza.com.br/smart-tv-led-crystal-uhd-50-samsung-lh50beahvggxzd/p/ac116ke32d/et/elit/
"Smart TV 55"" Crystal 4K Samsung UN55AU7700GXZD Wi-Fi - Bluetooth HDR Built in 3 HDMI 1 USB";2965.65;5;0;https://www.magazineluiza.com.br/smart-tv-55-crystal-4k-samsung-un55au7700gxzd-wi-fi-bluetooth-hdr-built-in-3-hdmi-1-usb/p/ja134c80kg/et/tves/
"Smart Tv Led Crystal UHD 65"" Samsung LH65BEAHVGGXZD";3688.15;1;1;https://www.magazineluiza.com.br/smart-tv-led-crystal-uhd-65-samsung-lh65beahvggxzd/p/he98b06cdh/et/elit/
"Smart TV 43"" Full HD Multilaser TL024 Wi-Fi 3 HDMI 2 USB Bivolt";1799.1;4;4;https://www.magazineluiza.com.br/smart-tv-43-full-hd-multilaser-tl024-wi-fi-3-hdmi-2-usb-bivolt/p/aj47h9j5c8/et/elit/
Smart TV Multilaser 43 LED Full HD HDMI USB Com Conversor Digital TL024;1601.1;5;0;https://www.magazineluiza.com.br/smart-tv-multilaser-43-led-full-hd-hdmi-usb-com-conversor-digital-tl024/p/ea8ck4h9d5/et/elit/
"Smart TV LED LG 24"" Monitor Wi-Fi Webos 3.5 DTV Machine Ready";1063.05;4;5;https://www.magazineluiza.com.br/smart-tv-led-lg-24-monitor-wi-fi-webos-3-5-dtv-machine-ready/p/jde160h71j/et/elit/
Smart TV LED 50 Philco PTV50RCG70BL 4K UHD Wi-Fi 4 HDMI 2 USB Processadores Quad Core e GPU Triple Core;2299.0;5;0;https://www.magazineluiza.com.br/smart-tv-led-50-philco-ptv50rcg70bl-4k-uhd-wi-fi-4-hdmi-2-usb-processadores-quad-core-e-gpu-triple-core/p/hg3d1kfhk9/et/tves/
Smart TV HD 39” Philco PTV39G60S Wi-Fi;1899.05;3;19;https://www.magazineluiza.com.br/smart-tv-hd-39-philco-ptv39g60s-wi-fi-hdr-2-hdmi-1-usb/p/193434500/et/elit/
Smart TV 4K QLED 55” TCL C715 Android;3228.1;3;13;https://www.magazineluiza.com.br/smart-tv-4k-qled-55-tcl-c715-android-wi-fi-bluetooth-hdr-3-hdmi-2-usb/p/193438700/et/tv4k/
