descricao;preco;avaliacao;quantidade_avaliacoes;URL
PlayStation 4 Mega Pack V18 2021 1TB 1 Controle;2999.9;5;10;https://www.magazineluiza.com.br/playstation-4-mega-pack-v18-2021-1tb-1-controle-preto-sony-com-3-jogos-na-memoria-voucher-3-meses/p/230331800/ga/gps4/
Nintendo Switch 32GB HAC-001-01 1 Controle Joy-Con;2249.91;5;3;https://www.magazineluiza.com.br/nintendo-switch-32gb-hac-001-01-1-controle-joy-con-vermelho-e-azul/p/043082000/ga/gans/
Xbox Series S 2020 Nova Geração 512GB SSD;2564.91;4;106;https://www.magazineluiza.com.br/xbox-series-s-2020-nova-geracao-512gb-ssd-1-controle-branco-microsoft-lancamento/p/043083000/ga/otga/
PlayStation 4 Mega Pack V18 2021 1TB 1 Controle;2948.9;5;0;https://www.magazineluiza.com.br/playstation-4-mega-pack-v18-2021-1tb-1-controle-preto-sony-the-last-of-us-part-ii-para-ps4/p/229565300/ga/gps4/
Console xbox series s  MICROSOFT;2471.56;4;5;https://www.magazineluiza.com.br/console-xbox-series-s-microsoft/p/eeg673468g/ga/xbss/
Nintendo Switch 32GB HAC-001-01 1 Controle Joy-Con;2249.91;5;6;https://www.magazineluiza.com.br/nintendo-switch-32gb-hac-001-01-1-controle-joy-con-cinza/p/043081000/ga/gans/
Console Xbox Serie s Ssd512gb 1controle Rrs-00006;2480.22;5;0;https://www.magazineluiza.com.br/console-xbox-serie-s-ssd512gb-1controle-rrs-00006-microsoft/p/bb69hd4d89/ga/otga/
Console nintendo switch 32gb com 1 controle joy-con vermelho e azul hac-001-01  NINTENDO;2229.06;5;0;https://www.magazineluiza.com.br/console-nintendo-switch-32gb-com-1-controle-joy-con-vermelho-e-azul-hac-001-01-nintendo/p/bcch3h502c/ga/gans/
Console Playstation 4 Megapack 18;2696.07;5;0;https://www.magazineluiza.com.br/console-playstation-4-megapack-18-sony/p/ejfe8d5315/ga/gps4/
Nintendo Switch 32GB, 1x Joycon, Neon Azul/Vermelho - HBDSKABA2;2129.9;5;0;https://www.magazineluiza.com.br/nintendo-switch-32gb-1x-joycon-neon-azul-vermelho-hbdskaba2/p/fbe225cj40/ga/gans/
Nintendo Switch 32GB 1 Controle Joy-Con;2249.91;5;0;https://www.magazineluiza.com.br/nintendo-switch-32gb-1-controle-joy-con-cinza/p/043082100/ga/gans/
Console nintendo switch 32gb hac-001-01 1 controle joy-con cinza  NINTENDO;2229.06;5;0;https://www.magazineluiza.com.br/console-nintendo-switch-32gb-hac-001-01-1-controle-joy-con-cinza-nintendo/p/fk8488b92a/ga/gans/
Console Xbox Serie S 500GB SSD 2 Controles Bluetooth Microsoft;2974.98;5;0;https://www.magazineluiza.com.br/console-xbox-serie-s-500gb-ssd-2-controles-bluetooth-microsoft/p/adc6d8ek11/ga/gxon/
Console Xbox Serie s Ssd512gb 1controle Rrs-00006;3291.27;5;1;https://www.magazineluiza.com.br/console-xbox-serie-s-ssd512gb-1controle-rrs-00006-microsoft/p/je6h72j47e/ga/xbss/
kit Game Pack 5 em 1 Compatível com PS4 PRO e PS4 Slim - DOBE;134.91;5;0;https://www.magazineluiza.com.br/kit-game-pack-5-em-1-compativel-com-ps4-pro-e-ps4-slim-dobe/p/bkf998d0jb/ga/gps4/
Console Portátil Nintendo Switch 32GB Controles Joy-Con HBDSKAAA1;2859.75;5;0;https://www.magazineluiza.com.br/console-portatil-nintendo-switch-32gb-controles-joy-con-hbdskaaa1/p/bd75k330bh/ga/gans/
Console Xbox Series S 512GB SSD;2510.99;5;0;https://www.magazineluiza.com.br/console-xbox-series-s-512gb-ssd-microsoft/p/fefjk9cfd9/ga/xbss/
Nintendo Switch Lite 2021 32GB Amarelo;1804.05;5;0;https://www.magazineluiza.com.br/nintendo-switch-lite-2021-32gb-amarelo-lancamento/p/231253800/ga/gans/
Controle De Mídia CFI-ZMR1 Console PlayStation 5 Sony;199.0;5;0;https://www.magazineluiza.com.br/controle-de-midia-cfi-zmr1-console-playstation-5-sony/p/dfaa770d86/ga/otga/
Mega Pack PlayStation4 1TB com 01 Controle DualShock4 e 03 Jogos;3078.9;5;0;https://www.magazineluiza.com.br/mega-pack-playstation4-1tb-com-01-controle-dualshock4-e-03-jogos-sony/p/ahaa21e09c/ga/otga/
Console Nintendo Switch Lite 32Gb Turquesa HDH-SBAZAA Nintendo;1799.59;5;0;https://www.magazineluiza.com.br/console-nintendo-switch-lite-32gb-turquesa-hdh-sbazaa-nintendo/p/ef700bd80j/ga/coni/
Atari Flashback Classics Vol. 3  - Ps4;157.34;5;0;https://www.magazineluiza.com.br/atari-flashback-classics-vol-3-ps4-sony/p/kk2kh858aa/ga/gps4/
Video Game Tectoy Master System - Retro;278.91;5;0;https://www.magazineluiza.com.br/video-game-tectoy-master-system-retro-tec-toy/p/hh0a0dk6g5/ga/masy/
Console Nintendo Switch 32gb Neon Blue Red;2973.49;5;0;https://www.magazineluiza.com.br/console-nintendo-switch-32gb-neon-blue-red-nitendo/p/ee197gae1b/ga/gans/
Console xbox series s 512gb ssd  midia digital;2879.99;5;0;https://www.magazineluiza.com.br/console-xbox-series-s-512gb-ssd-midia-digital/p/hkb206dfdd/ga/xbss/
Console Xbox Series S 500GB + Controle Sem Fio - Branco;2547.41;5;0;https://www.magazineluiza.com.br/console-xbox-series-s-500gb-controle-sem-fio-branco-microsoft/p/jhbj0207ch/ga/gxon/
Console Tectoy Sega Master System Evolution cor azul;353.4;5;0;https://www.magazineluiza.com.br/console-tectoy-sega-master-system-evolution-cor-azul-fi/p/ca57kha9bb/ga/masy/
Xbo Series S 512GB cor branco;2660.0;5;0;https://www.magazineluiza.com.br/xbo-series-s-512gb-cor-branco-xbox/p/agfa1h4b0e/ga/otga/
Console Microsoft Xbox Series S, 512GB, Branco;2750.0;5;0;https://www.magazineluiza.com.br/console-microsoft-xbox-series-s-512gb-branco/p/hf5jbd1d64/ga/xbss/
Pokemon: Let's Go Pikachu - Switch;379.1;5;1;https://www.magazineluiza.com.br/pokemon-let-s-go-pikachu-switch-nintendo/p/eh86107f9e/ga/gans/
Nintendo Switch Lite 2021 32GB Coral;1804.05;5;0;https://www.magazineluiza.com.br/nintendo-switch-lite-2021-32gb-coral-lancamento/p/231253600/ga/gans/
Atari Flashback 8 Portátil Tectoy;418.41;4;11;https://www.magazineluiza.com.br/atari-flashback-8-portatil-tectoy-com-70-jogos/p/043076500/ga/gaat/
Console Nintendo Switch Cinza 32GB com 1 Controle Joy Con;2271.92;5;0;https://www.magazineluiza.com.br/console-nintendo-switch-cinza-32gb-com-1-controle-joy-con/p/cfj4hefh70/ga/gans/
Console Xbox Series S 500GB Branco -1 Controle;2526.99;5;0;https://www.magazineluiza.com.br/console-xbox-series-s-500gb-branco-1-controle-microsoft/p/gj424agje5/ga/xbss/
SnowRunner   - Ps4;351.82;5;0;https://www.magazineluiza.com.br/snowrunner-ps4-sony/p/jg262bfeg3/ga/gap4/
