;Descrição;Preço;TotalReviews;Loja;Categoria;Tipo
529;Smart TV Philips 50PUG7625 4K UHD, P5, HDR10+, Dolby Vision, Dolby Atmos, Bluetooth, WiFi, 3 HDMI, 2 USB - Preto Bordas ultrafinas;2399.0;171.0;Amazon;TV;4k
534;"2021 Smart TV LG 55"" 4K OLED55C1 120Hz G-Sync FreeSync 4x HDMI 2.1 Inteligência Artificial ThinQAI Google Alexa";5249.0;35.0;Amazon;TV;4k
535;"Smart TV LED 43"" 4K UHD LG 43UN731C, 3 HDMI, 2 USB, Wi-Fi, Assistente Virtual, Bluetooth";2083.11;543.0;Amazon;TV;4k
536;Smart TV 4K QLED 55” Ultra HD Samsung;3749.0;0.0;Amazon;TV;4k
537;"Smart TV 55"" 4K Samsung UN55TU8000GXZD, Crystal UHD, Borda Infinita, Alexa Built In, Visual Livre de Cabos, Modo Ambiente Foto, Controle Único";3583.48;1248.0;Amazon;TV;4k
538;"2021 Smart TV LG 65"" 4K UHD 65UP7550 WiFi Bluetooth HDR Inteligência Artificial ThinQAI Smart Magic Google Alexa";3610.0;10.0;Amazon;TV;4k
542;"2021 Smart TV LG 50"" 4K NanoCell 50NANO75 3x HDMI 2.0 Inteligência Artificial ThinQAI Smart Magic Google Alexa";2784.72;17.0;Amazon;TV;4k
545;"Smart TV TCL LED Ultra HD 4K 55"" Android TV com Google Assistant, Borda Ultrafina e Wi-Fi - 55P715";2687.55;39.0;Amazon;TV;4k
546;Smart TV Android LED 50” 4K UHD TCL 50P615, 3 HDMI, 2 USB, Wi-Fi, Bluetooth e Controle Remoto com Comando por controle de Voz e Google Assistant;2399.99;15.0;Amazon;TV;4k
552;"2021 Smart TV LG 43"" 4K UHD 43UP7500 WiFi Bluetooth HDR ThinQAI compatível com Inteligência Artificial";2184.05;49.0;Amazon;TV;4k
554;"2021 Smart TV LG 60"" 4K UHD 60UP7750 WiFi Bluetooth HDR Inteligência Artificial ThinQAI Smart Magic Google Alexa";3609.04;2.0;Amazon;TV;4k
556;"Smart TV LG 43"" 4K UHD WiFi Bluetooth HDR Inteligência Artificial ThinQ AI Google Assistente Alexa";2499.99;513.0;Amazon;TV;4k
558;"Smart TV LED 50"" SEMP SK8300 Ultra HD 4K HDR, Android, Wi-Fi, Chromecast Integrado";2299.99;40.0;Amazon;TV;4k
559;TCL Qled tv 55” C715 4k UHD Android TV Dolby Vision;3198.99;0.0;Amazon;TV;4k
560;"2021 Smart TV LG 55"" 4K NanoCell 55NANO80 4x HDMI 2.0 Inteligência Artificial ThinQAI Smart Magic Google Alexa";3500.97;2.0;Amazon;TV;4k
562;"Smart TV Philips 65PUG6794/78-65"" 4K UHD AMBILIGHT 3 lados HDR10+ Dolby Vision Dolby Atmos Bluetooth Wifi 3 HDMI 2 USB - Prata";3999.0;10.0;Amazon;TV;4k
565;"Smart TV LED 65"" 4K UHD LG 65UN731C 3 HDMI 2 USB Wi-Fi Assitente Virtual Bluetooth";4379.68;0.0;Amazon;TV;4k
569;"2021 Smart TV LG 65"" 4K NanoCell 65NANO85 120Hz FreeSync 2 HDMI 2.1 Inteligência Artificial ThinQAI Google Alexa";5878.97;3.0;Amazon;TV;4k
572;"Smart TV LED 4K 55"" PHILCO PTV55G70SBLSG, Conexão Wireless, Mídia Cast, Processador Gráfico Triple Core";2599.0;52.0;Amazon;TV;4k
573;"Samsung Smart TV 50"" Crystal UHD 4K 50AU8000, Painel Dynamic Crystal Color, Design slim, Tela sem limites, Visual Livre de Cabos, Alexa built in, Controle Único";3456.38;1.0;Amazon;TV;4k
575;"Smart TV LG 65"" 4K IPS NanoCell WiFi Bluetooth HDR Inteligencia Artificial ThinQAI Google Assistente Alexa IOT";5999.0;5.0;Amazon;TV;4k
586;"Smart TV 50"" 4K PHILIPS 50PUG6654/78, UHD, HDR10+, Dolby Vision, Dolby Atmos, Bluetooth, WiFi, 3 HDMI, 2 USB";3149.9;158.0;Amazon;TV;4k
588;Smart TV LED 65” TCL P715 4K Android UHD HDR com Wi-Fi, Borda Ultrafina e Google Assistant;4268.23;5.0;Amazon;TV;4k
589;"Smart TV LED 50"" 4K Samsung LH50BETHVGGXZD, 2 HDMI, 1 USB, Wi-Fi, Tyzen";3898.24;132.0;Amazon;TV;4k
591;"TV LED 65"" Smart 65P8M 4K HDR, Wifi, 3 HDMI, 2 USB, Controle remoto com comando de voz Unica";4949.9;5.0;Amazon;TV;4k
592;"Smart TV LED 65"" Samsung LH65BETHVGGXZD Ultra HD 4K 2HDMI 1USB Wifi";4339.0;1.0;Amazon;TV;4k
593;"Smart TV LED 55"", Resolução 4K Ultra HD, Panasonic, TC-55GX500B";2935.0;20.0;Amazon;TV;4k
599;Caixa de TV multimídia do Android, Edição de luxo Atv. Amlogic. S905x4. Inteligente televisão Caixa Android 10. 4GB 32 / 64GB 2.4G / 5G WiFi 4K definir caixa superior (Color : 4g32g);1173.27;0.0;Amazon;TV;4k
601;"Smart Tv Toshiba UHD 4K 55"" QUANTUM DOT Alexa Built-In Wifi Bluetooth 3 HDMI 2 USB, Toshiba - TB001";3499.0;1.0;Amazon;TV;4k
607;"Tela 50"" 4K Smart e Wi-Fi Integrado - Karsten, TL032, Preto";2349.06;1.0;Amazon;TV;4k
608;"Smart TV LG 65"" 4K IPS NanoCell WiFi Bluetooth HDR Inteligencia Artificial ThinQAI Google Assistente Alexa IOT";5499.0;79.0;Amazon;TV;4k
617;Smart TV LED 55” Samsung Crystal processor 4K 3HDMI 1USB Wifi Bluetooth;3677.45;0.0;Amazon;TV;4k
618;Smart TV Led Crystal UHD 50 Samsung LH50BEAH 4K TIZEN 3 HDMI 1 USB Titan Gray Bivolt;3283.37;0.0;Amazon;TV;4k
622;"Smart TV LED 55"" 4K UHD Panasonic TC-55HX550B, HDR10+, Sistema Android, Bivolt";3644.1;33.0;Amazon;TV;4k
629;"Projetor Bluetooth 5G WiFi, 50 0sansi. Lumens, ± 45 ° 4P / 4D. Keystone Suporte 4K & Zoom300""Função de zoom para televisão Bastão, HDMI, PS4, Computador portátil, iOS & Android (Color : Gold)";3049.78;0.0;Amazon;TV;4k
630;Smart Tv Samsung 65 Polegadas LED 4K WiFi USB HDMI UN65TU7000GXZD;5415.7;269.0;Amazon;TV;4k
631;Nativo cheio HD 1080p Projetor, Projetor WiFi 4K suportado, interface de entrada AV/VGA/HDMI/USB/TF, Compatível com televisão Bastão, HDMI, VGA, USB, Computador portátil, iOS & Android;1575.07;0.0;Amazon;TV;4k
633;TCL Qled tv 65” C715 4k UHD Android TV Dolby Vision;4749.05;2.0;Amazon;TV;4k
658;Smart TV LED 65” Samsung Crystal processor 4K 3HDMI 1USB Wifi Bluetooth;4596.98;0.0;Amazon;TV;4k
660;"Smart TV Philco 50"" PTV50G70SBLSG Ultra HD 4K Tela Infinita Quadcore e App Store";3399.9;68.0;Amazon;TV;4k
676;"Smart TV Toshiba UHD 4K 50"" QUANTUM DOT Alexa Wifi Integrado Bluetooth 3 HDMI 2 USB Toshiba - TB004";3998.9;0.0;Amazon;TV;4k
686;Caixa de TV multimídia do Android, Caixa de versão global. televisão Conjuntos 4K HDR Dolby. TV Stick Android 8.1 Smart Control Media Player;1002.75;0.0;Amazon;TV;4k
