Descrição;Preço;Estrelas;TotalReviews;Url
Headset com fio Logitech H151 com Microfone com Redução de Ruído e Conexão 3,5mm;R$ 99,90;4,3 de 5 estrelas;3.579;https://www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_computers_sr_pg1_1?ie=UTF8&adId=A07153832NUS9CULF4RNL&url=%2FHeadset-Est%25C3%25A9reo-Anal%25C3%25B3gico-Logitech-Microfones%2Fdp%2FB00WGQNJK4%2Fref%3Dsr_1_1_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dnotebook%26qid%3D1634260358%26s%3Dcomputers%26sr%3D1-1-spons%26ufe%3Dapp_do%253Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d%26psc%3D1&qualifier=1634260358&id=8076377365282487&widgetName=sp_atf
Mouse Bluetooth para MacBook Pro/MacBook Air/Laptop/iMac/iPad, mouse sem fio para MacBook Pro MacBook Air/iMac/laptop/notebook/pc, BT/Grey-White;R$ 80,98;4,4 de 5 estrelas;51;https://www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_computers_sr_pg1_1?ie=UTF8&adId=A090574233KMBA4GW9LXN&url=%2FBluetooth-MacBook-Laptop-notebook-Grey-White%2Fdp%2FB082Y7TK1W%2Fref%3Dsr_1_2_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dnotebook%26qid%3D1634260358%26s%3Dcomputers%26sr%3D1-2-spons%26ufe%3Dapp_do%253Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9%26psc%3D1%26smid%3DAFE0371V6RLJI&qualifier=1634260358&id=8076377365282487&widgetName=sp_atf
Mouse Bluetooth recarregável para Mac, laptop, bluetooth, mouse sem fio, para MacBook Pro MacBook Air e Windows Notebook, Branco;R$ 119,67;3,2 de 5 estrelas;6;https://www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_computers_sr_pg1_1?ie=UTF8&adId=A04551331EB45CR070TKV&url=%2FBluetooth-recarreg%25C3%25A1vel-bluetooth-MacBook-Notebook%2Fdp%2FB07VLMC66D%2Fref%3Dsr_1_3_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dnotebook%26qid%3D1634260358%26s%3Dcomputers%26sr%3D1-3-spons%26ufe%3Dapp_do%253Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d%26psc%3D1%26smid%3DAFE0371V6RLJI&qualifier=1634260358&id=8076377365282487&widgetName=sp_atf
"Notebook Lenovo Ultrafino IdeaPad S145, AMD Ryzen 5, 8GB RAM, 1TB HD, Linux 15.6"", Prata";R$ 2.909,00;4,6 de 5 estrelas;199;https://www.amazon.com.br/Notebook-Lenovo-Ultrafino-ideapad-81V7S00100/dp/B0891ZH1FL/ref=sr_1_4?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634260358&s=computers&sr=1-4&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Notebook Lenovo Ultrafino ideapad S145 i5-1035G1 8GB 256GB SSD Windows 10 15.6"" FHD 82DJ000GBR Prata";R$ 3.229,99;4,7 de 5 estrelas;26;https://www.amazon.com.br/Lenovo-Ultrafino-S145-i5-1035G1-82DJ000GBR/dp/B098V2Y9DJ/ref=sr_1_6?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634260358&s=computers&sr=1-6&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
SAMSUNG Chromebook SS 11.6 Intel DC 4GB 32GB XE310XBA-KT1BR;R$ 1.699,00;4,5 de 5 estrelas;239;https://www.amazon.com.br/SAMSUNG-Chromebook-11-6-Intel-XE310XBA-KT1BR/dp/B08LW3HX81/ref=sr_1_8?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634260358&s=computers&sr=1-8&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Samsung BookIntel® Core™ i3-1115G4, 11 Geração, Windows 10 Home, 4GB, 1TB, 15.6'' Full HD LED, 1.86kg;R$ 2.789,09;3,7 de 5 estrelas;46;https://www.amazon.com.br/Samsung-BookIntel%C2%AE-i3-1115G4-Gera%C3%A7%C3%A3o-Windows/dp/B09427BLZP/ref=sr_1_10?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634260358&s=computers&sr=1-10&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Notebook Positivo Motion Q464C Intel® Atom® Quad-Core Windows 10 Home - Cinza;R$ 1.718,90;4,0 de 5 estrelas;72;https://www.amazon.com.br/Notebook-Positivo-Motion-Quad-Core-Windows/dp/B08SMM6PW2/ref=sr_1_11?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634260358&s=computers&sr=1-11&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Samsung Book Intel® Dual-Core, Windows 10 Home, 4GB, 500GB, 15.6'' Full HD LED, 1.86kg*.;R$ 2.539,90;3,7 de 5 estrelas;33;https://www.amazon.com.br/Samsung-Intel%C2%AE-Dual-Core-Windows-1-86kg/dp/B0931ZW98J/ref=sr_1_12?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634260358&s=computers&sr=1-12&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"SSD Solid State Drive 2,5"" 128GB 240GB Desktop Notebook Placa de expansão de componente de computador universal (240GB)";R$ 248,30;0;0;https://www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_computers_sr_pg1_1?ie=UTF8&adId=A02086497JKI6WUW8BKG&url=%2Fdp%2FB09JFZ3ZC7%2Fref%3Dsr_1_13_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dnotebook%26qid%3D1634260358%26s%3Dcomputers%26sr%3D1-13-spons%26ufe%3Dapp_do%253Aamzn1.fos.e05b01e0-91a7-477e-a514-15a32325a6d6%26psc%3D1&qualifier=1634260358&id=8076377365282487&widgetName=sp_mtf
