Descrição;Preço;Estrelas;TotalReviews;Url
Tripé Para Celular e Camera, Tripé Profissional 360°, Tripé Universal Preto, Tripé Para Smartphone E Câmera, Suporte Para Celular e Camera Articulável 360°, Para Fotografica, Celular, Smartphone, Casa, EscritórioBWM;R$ 79,90;5,0 de 5 estrelas;5;https://www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_electronics_sr_pg1_1?ie=UTF8&adId=A03391333HQ0F6ME7Y3O2&url=%2FProfissional-Smartphone-Articul%25C3%25A1vel-Fotografica-Escrit%25C3%25B3rioBWM%2Fdp%2FB092PNPBWM%2Fref%3Dsr_1_1_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dsmartphone%26qid%3D1634261851%26s%3Delectronics%26sr%3D1-1-spons%26ufe%3Dapp_do%253Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9%26psc%3D1&qualifier=1634261851&id=7847494849013633&widgetName=sp_atf
Domary Mini teclado virtual de toque portátil e mouse mouse BT QWERTY Projeção para smartphone/PC/tablets;R$ 445,67;0;0;https://www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_electronics_sr_pg1_1?ie=UTF8&adId=A06609031Q86LQS2917BV&url=%2FDomary-teclado-port%25C3%25A1til-Proje%25C3%25A7%25C3%25A3o-smartphone%2Fdp%2FB09FT317TN%2Fref%3Dsr_1_2_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dsmartphone%26qid%3D1634261851%26s%3Delectronics%26sr%3D1-2-spons%26ufe%3Dapp_do%253Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147%26psc%3D1&qualifier=1634261851&id=7847494849013633&widgetName=sp_atf
Domary Multifuncional de alta velocidade de 10 portas USB AC para DC Power Socket Estação de carregamento USB Carregador de viagem para smartphones Pad Tablet e outros dispositivos alimentados por USB;R$ 148,77;0;0;https://www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_electronics_sr_pg1_1?ie=UTF8&adId=A09045201V9PNYDRVP4FS&url=%2FDomary-Multifuncional-carregamento-smartphones-dispositivos%2Fdp%2FB09FT3G3ZN%2Fref%3Dsr_1_3_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dsmartphone%26qid%3D1634261851%26s%3Delectronics%26sr%3D1-3-spons%26ufe%3Dapp_do%253Aamzn1.fos.6a09f7ec-d911-4889-ad70-de8dd83c8a74%26psc%3D1&qualifier=1634261851&id=7847494849013633&widgetName=sp_atf
Smartphone LG K41S 32GB, RAM de 3GB, Tela de 6,5” V- Notch, Câmera Quádrupla e Processador Octa-Core 2.0, Titanium;R$ 799,00;4,6 de 5 estrelas;1.371;https://www.amazon.com.br/Smartphone-LG-Qu%C3%A1drupla-Processador-Octa-Core/dp/B088PSBKJ7/ref=sr_1_4?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=smartphone&qid=1634261851&s=electronics&sr=1-4&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Smartphone Positivo Q20, 4Gb Ram, 128Gb, Tela 6.1"", Camêra 13Mp Wide, 5Mp Ultrawide e 2Mp Profundidade, Câmera Frontal de 8Mp , Midnight Blue";R$ 799,00;4,1 de 5 estrelas;853;https://www.amazon.com.br/Smartphone-Positivo-Q20-Ultrawide-Profundidade/dp/B08C4PTMMG/ref=sr_1_5?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=smartphone&qid=1634261851&s=electronics&sr=1-5&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Smartphone ASUS Zenfone Max Pro M2, 6GB 64GB, Black Saphire;R$ 1.299,00;4,5 de 5 estrelas;452;https://www.amazon.com.br/Zenfone-Max-Pro-M2-6GB-64GB/dp/B082C7P34T/ref=sr_1_6?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=smartphone&qid=1634261851&s=electronics&sr=1-6&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Smartphone Xiaomi Redmi 9 India 64GB 4GB RAM Tela 6,53'' Android 10 Octa-Core Dual Sim - Preto;R$ 1.005,90;4,3 de 5 estrelas;101;https://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Android-Octa-Core/dp/B086985T6R/ref=sr_1_7?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=smartphone&qid=1634261851&s=electronics&sr=1-7&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Smartphone Xiaomi Redmi Note 8 4RAM 64GB Tela 6.3 LTE Dual Azul;R$ 1.199,00;4,8 de 5 estrelas;40.979;https://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Note-4RAM/dp/B07Y9XWK4M/ref=sr_1_8?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=smartphone&qid=1634261851&s=electronics&sr=1-8&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Smartphone Xiaomi Redmi 9 Dual Chip 64gb 4gb Sunset Purple;R$ 1.229,00;4,8 de 5 estrelas;3.829;https://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Sunset-Purple/dp/B08B3NVQ7V/ref=sr_1_9?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=smartphone&qid=1634261851&s=electronics&sr=1-9&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Smartphone Nokia 2.4 64GB 3GB RAM Tela de 6,5 Pol. Câmera Traseira 13MP + 2MP Cinza - NK015;R$ 899,00;4,6 de 5 estrelas;12;https://www.amazon.com.br/Smartphone-Nokia-C%C3%A2mera-Traseira-Cinza/dp/B09155M38C/ref=sr_1_10?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=smartphone&qid=1634261851&s=electronics&sr=1-10&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
