Descrição;TotalReviews;Preço;Url;Loja;Modelo;Categoria
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i5-10210U 8GB 256GB SSD W10 15.6"" Prata";54;3562.49;https://www.americanas.com.br/produto/3171318128?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60a557ce52131c3c8162e909&buyboxToken=smartbuybox-acom-v2-95226fa1-8e49-408f-b115-5580b393084d-2021-10-15 11:18:08-0300;Americanas;Lenovo;Notebook
Notebook Samsung Book Intel Celeron-6305 4GB 500GB W10 FHD 15.6'' Cinza Chumbo NP550XDA-KO1BR;90;2098.7;https://www.americanas.com.br/produto/3081358732?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6076e3e00c070442664baf9c&buyboxToken=smartbuybox-acom-v2-14e61ffa-6a21-4d9d-b876-97b051ad32ed-2021-10-15 11:08:33-0300;Americanas;Samsung;Notebook
"Notebook Lenovo Ultrafino Ideapad S145 AMD Ryzen 5 12GB 1TB Linux 15.6"" Prata";7;2952.57;https://www.americanas.com.br/produto/3383642632?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=611cfa3509c351890d59319c;Americanas;Lenovo;Notebook
Notebook Samsung Book Intel Core i5-1135G7 8GB 256GB SSD (Intel Iris Xe) Windows 10 FHD Tela 15.6'' Cinza Chumbo NP550XDA-KF2BR;0;3544.81;https://www.americanas.com.br/produto/3081358898?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=607b01370c070442662496b3&buyboxToken=smartbuybox-acom-v2-a696349a-ee7e-46d3-8982-fcf557f66eee-2021-10-15 11:09:54-0300;Americanas;Samsung;Notebook
Notebook Positivo Motion Q464C Intel Atom Z8350 4GB eMMC 64GB W10 14.1'' - Vermelho;73;1424.99;https://www.americanas.com.br/produto/2831155071?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60257f8b0c07044266e4aca6&buyboxToken=smartbuybox-acom-v2-4ae9c631-1e86-43f4-8bd3-455ff382b11d-2021-10-15 11:18:08-0300;Americanas;Positivo;Notebook
Notebook Samsung Book Intel Core I3-1115G4 4GB 1TB W10 FHD 15.6'' Cinza Chumbo NP550XDA-KT1BR;93;2887.05;https://www.americanas.com.br/produto/3081357828?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60913b9452131c3c81e236d2&buyboxToken=smartbuybox-acom-v2-e95424f0-6136-45b6-8a2e-714217cc44d4-2021-10-15 11:18:08-0300;Americanas;Samsung;Notebook
Notebook Acer Aspire 5 A514-53-39KH Intel Core I3 8GB ram 256GB ssd 14' Windows 10;19;3040.02;https://www.americanas.com.br/produto/3194857212?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=611a750509c351890d78d694;Americanas;Acer;Notebook
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i5-10210U 8GB (GeForce MX330 2GB) 256GB SSD W10 15.6"" Prata";21;3549.99;https://www.americanas.com.br/produto/3171320172?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60c8976352131c3c814b6930&buyboxToken=smartbuybox-acom-v2-7618fe3e-10f2-4932-af72-ecdb6fea895a-2021-10-15 11:18:08-0300;Americanas;Lenovo;Notebook
Notebook Samsung Book Intel Core i5-1135G7 8GB 1TB (Intel Iris Xe) W10 FHD 15.6'' Branco NP550XDA-KF4BR;34;3609.99;https://www.americanas.com.br/produto/3081358118?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60953b6d52131c3c81525b23;Americanas;Samsung;Notebook
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i3-10110U 4GB 1TB W10 15.6"" Prata";39;2852.72;https://www.americanas.com.br/produto/3171321520?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60a5579d52131c3c81627de5&buyboxToken=smartbuybox-acom-v2-cd30c54e-08f0-4c69-a93e-3934c2dc5018-2021-10-15 11:18:08-0300;Americanas;Lenovo;Notebook
