Descrição;TotalReviews;Preço;Url;Loja
Geladeira / Refrigerador Brastemp Duplex BRM44 Frost Free 375 Litros - Branco;585;2499.99;https://www.americanas.com.br/produto/133257344?pfm_carac=geladeira&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5b19405e172743a0f5a07a29&buyboxToken=smartbuybox-acom-v2-a32ed8f0-63c8-4400-b1c5-f46a32125915-2021-10-15 12:08:08-0300;Americanas
Geladeira Brastemp BRM44HK Frost Free Duplex 375L com Compartimento Extrafrio Fresh Zone Inox;584;2899.99;https://www.americanas.com.br/produto/133605724?pfm_carac=geladeira&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5b168f2e172743a0f54da064&buyboxToken=smartbuybox-acom-v2-257e98fc-a52c-4b34-abf2-9437d883bb22-2021-10-15 12:03:12-0300;Americanas
Geladeira/Refrigerador Electrolux DC35A Branca 260L Cycle Defrost;253;1789.99;https://www.americanas.com.br/produto/111957454?pfm_carac=geladeira&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5fc4f9c4762ff36719fb861e&buyboxToken=smartbuybox-acom-v2-fdc12ad8-ec82-4662-909d-d1a8757fa859-2021-10-15 12:02:24-0300;Americanas
Refrigerador Electrolux 1 Porta RE31 240 Litros Branco;150;1368.99;https://www.americanas.com.br/produto/111957489?pfm_carac=geladeira&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=615f10df09c351890de83a95&buyboxToken=smartbuybox-acom-v2-9b95cc31-17a5-400b-b1fe-dd3bc06b8c1c-2021-10-15 12:08:08-0300;Americanas
Geladeira/Refrigerador Electrolux French Door DM84X 579 Litros - Inox;293;6199.99;https://www.americanas.com.br/produto/133233166?pfm_carac=geladeira&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5b564829172743a0f5f3f1aa&buyboxToken=smartbuybox-acom-v2-42771bfb-5917-42ad-9e46-592bbb2354d8-2021-10-15 12:08:08-0300;Americanas
Geladeira/Refrigerador Electrolux Duplex TW42S Top Freezer com Dispenser De Água 382L Inox;448;2975.06;https://www.americanas.com.br/produto/1371035907?pfm_carac=geladeira&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5e2f5b0e1729c3bbf12e0c2e&buyboxToken=smartbuybox-acom-v2-69199cf2-dd28-44b3-9801-7c731ed43c44-2021-10-15 12:08:08-0300;Americanas
"Geladeira Consul Frost Free Duplex CRM56 450L Espaço Flex 
 Branca com Painel Eletrônico Externo";59;3198.0;https://www.americanas.com.br/produto/3144925707?pfm_carac=geladeira&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6093fb4452131c3c81894d0f&buyboxToken=smartbuybox-acom-v2-0e99cc79-0d9e-47b8-9cc1-b6d73fa6d16f-2021-10-15 12:06:15-0300;Americanas
Geladeira Consul Cycle Defrost Duplex CRD37EB 334 litros com Freezer Supercapacidade - Branca;0;1799.98;https://www.americanas.com.br/produto/110267814?pfm_carac=geladeira&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5e8f279379bf8430cba511b5&buyboxToken=smartbuybox-acom-v2-8275ffc2-681a-416a-be43-d978390fc3eb-2021-10-15 12:08:08-0300;Americanas
Geladeira Electrolux Tf39 Frost Free 2 Portas 310l;64;2199.0;https://www.americanas.com.br/produto/1210547063?pfm_carac=geladeira&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5f465463cc79e88b865bfbdc&buyboxToken=smartbuybox-acom-v2-a580a634-cd54-47f4-b882-90c82b06b2ff-2021-10-15 12:02:48-0300;Americanas
Geladeira/Refrigerador Electrolux Duplex DFN41 Frost Free 371L Branca;128;2488.77;https://www.americanas.com.br/produto/1808805784?pfm_carac=geladeira&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5f08c94379bf8430cb4b5420&buyboxToken=smartbuybox-acom-v2-b5131798-2bd5-4d7f-985a-13a378911220-2021-10-15 12:06:15-0300;Americanas
Geladeira Brastemp BRO80AK Frost Free 540L com Ice Maker Side Inverse Inox;418;5899.99;https://www.americanas.com.br/produto/117966044?pfm_carac=geladeira&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5972ab071f09073c7e42f0a7&buyboxToken=smartbuybox-acom-v2-3c9eedc3-3025-49ce-9765-3de0d53d920a-2021-10-15 12:08:08-0300;Americanas
Geladeira Panasonic NR-BB53GV3BA 2 Portas 425L Black Glass;0;3999.9;https://www.americanas.com.br/produto/1847305133?pfm_carac=geladeira&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=616895d709c351890d39a18d&buyboxToken=smartbuybox-acom-v2-6a6c249f-0b80-4643-8402-6e2e068b4afa-2021-10-15 12:08:08-0300;Americanas
Geladeira Consul Frost Free Duplex CRM50 410L Espaço Flex Branca com Controle Interno de Temperatura;25;2898.99;https://www.americanas.com.br/produto/3154707480?pfm_carac=geladeira&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6093f51052131c3c81808726&buyboxToken=smartbuybox-acom-v2-5f542dd8-3d26-424c-8530-f9c7a4c544e5-2021-10-15 12:08:08-0300;Americanas
Geladeira Brastemp Frost Free 443 litros - BRE57 Inox;128;4299.99;https://www.americanas.com.br/produto/132717231?pfm_carac=geladeira&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5efb654b79bf8430cb8886ec&buyboxToken=smartbuybox-acom-v2-8d351a85-c47e-4857-ae45-27419fb7e668-2021-10-15 12:00:34-0300;Americanas
Geladeira/Refrigerador Electrolux Duplex DF44S Frost Free Top Freezer 402 litros Inox;138;3399.99;https://www.americanas.com.br/produto/1229165111?pfm_carac=geladeira&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5dc4d1c70b100146c4dfa6a6&buyboxToken=smartbuybox-acom-v2-c0bfaf26-cf75-4fb3-a23c-9da9f7308843-2021-10-15 12:08:08-0300;Americanas
Geladeira/Refrigerador Consul Duplex Frost Free CRM39 340 Litros - Branca;194;2498.0;https://www.americanas.com.br/produto/134567168?pfm_carac=geladeira&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5d5bffc5f216c95bdea4181e&buyboxToken=smartbuybox-acom-v2-36de67a0-6de2-43e6-8358-da581631a0a8-2021-10-15 12:06:15-0300;Americanas
Geladeira Brastemp Frost Free 400 litros - BRM54 Inox;132;3548.99;https://www.americanas.com.br/produto/132717185?pfm_carac=geladeira&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5b314e91172743a0f56a5e4c&buyboxToken=smartbuybox-acom-v2-0477482f-d649-486a-b52c-b881c0e1b08e-2021-10-15 12:08:08-0300;Americanas
Geladeira / Refrigerador Consul Frost Free Facilite CRB39 342 litros;161;1678.99;https://www.americanas.com.br/produto/5091194?pfm_carac=geladeira&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=607942560c07044266b7bc39&buyboxToken=smartbuybox-acom-v2-0993766e-d596-474d-8e4b-311dfc9b75d4-2021-10-15 12:00:34-0300;Americanas
Geladeira/Refrigerador Frost Free cor Inox 310L Electrolux (TF39S);129;2499.0;https://www.americanas.com.br/produto/454467684?pfm_carac=geladeira&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5f65a7161b186381b5e1fc4c&buyboxToken=smartbuybox-acom-v2-34145fc7-b181-42e0-95bc-8b9bdbcff93b-2021-10-15 12:08:08-0300;Americanas
Geladeira Consul Frost Free Duplex CRM56 450L Espaço Flex Inox com Painel Eletrônico Externo;39;3498.99;https://www.americanas.com.br/produto/3144924587?pfm_carac=geladeira&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6093f5d252131c3c8181b25a&buyboxToken=smartbuybox-acom-v2-b4949735-68d6-41c1-977c-790847b7df04-2021-10-15 12:03:12-0300;Americanas
Geladeira Panasonic Frost Free 387L Aço Escovado - NR-BT40BD1X;15;2609.1;https://www.americanas.com.br/produto/2134988510?pfm_carac=geladeira&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6155f36809c351890dac19dc&buyboxToken=smartbuybox-acom-v2-9df6338f-d1d5-47f0-a338-92da83d5ac38-2021-10-15 12:08:08-0300;Americanas
Geladeira/Refrigerador Electrolux Frost Free DFX41 Inox 371L;41;2822.34;https://www.americanas.com.br/produto/1808805645?pfm_carac=geladeira&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5f08c94279bf8430cb4b4fc5&buyboxToken=smartbuybox-acom-v2-0713f75f-1b8b-4ea9-b719-10683a1ff1f1-2021-10-15 12:08:08-0300;Americanas
Geladeira Panasonic Frost Free NR-BT50BD3X 435L Aço Escovado;19;3044.99;https://www.americanas.com.br/produto/1832445491?pfm_carac=geladeira&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5f3d5bc6cc79e88b862a5de5&buyboxToken=smartbuybox-acom-v2-ff3e80b2-3830-4c5e-af19-b2f4d1a7377d-2021-10-15 12:08:08-0300;Americanas
Geladeira / Refrigerador Consul  Degelo Seco 261 litros CRA30;100;1398.99;https://www.americanas.com.br/produto/108770509?pfm_carac=geladeira&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60793f240c07044266b31358&buyboxToken=smartbuybox-acom-v2-0dd4e799-2c10-4828-8027-789500a1a625-2021-10-15 12:08:08-0300;Americanas
Geladeira Brastemp Frost Free 462 litros - BRM56 Inox;47;4306.72;https://www.americanas.com.br/produto/132718911?pfm_carac=geladeira&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5f18435f79bf8430cbba7a76&buyboxToken=smartbuybox-acom-v2-acbc5479-c16a-4425-b190-7df788fb7517-2021-10-15 12:08:08-0300;Americanas
Geladeira/Refrigerador Brastemp Frost Free BRM45 375 Litros - Inox;244;3055.19;https://www.americanas.com.br/produto/133567705?pfm_carac=geladeira&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5f73b3c81b186381b5dcb03a&buyboxToken=smartbuybox-acom-v2-96051f6e-b76f-4c2c-aa26-6073971cf173-2021-10-15 12:08:08-0300;Americanas
Geladeira/Refrigerador Electrolux Duplex TF55S Top Freezer 431L Platinum;57;3509.99;https://www.americanas.com.br/produto/1808805661?pfm_carac=geladeira&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5f08c94079bf8430cb4b4a11&buyboxToken=smartbuybox-acom-v2-3e29e29e-853a-46fc-ac8f-1fa28b177027-2021-10-15 12:02:19-0300;Americanas
Geladeira/Refrigerador Electrolux Frost Free Bottom Freezer 454 Litros DB53X;56;4199.99;https://www.americanas.com.br/produto/2854753428?pfm_carac=geladeira&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6040f83f0c0704426635fa3d&buyboxToken=smartbuybox-acom-v2-a65542dc-a49b-46fc-9091-fe3dc07bc963-2021-10-15 12:02:19-0300;Americanas
Geladeria/Refrigerador Consul Duplex CRE44 Frost Free com Freezer Embaixo 397 litros Evox;118;3748.0;https://www.americanas.com.br/produto/134545663?pfm_carac=geladeira&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5d728bb0f216c95bde33aba2&buyboxToken=smartbuybox-acom-v2-55bc5135-affb-4d4a-9a52-d3e0add84012-2021-10-15 12:00:34-0300;Americanas
Geladeira/Refrigerador Samsung Side by Side RS50N3413S8 Inox Look 501L;12;7699.99;https://www.americanas.com.br/produto/1489721419?pfm_carac=geladeira&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5e4ae1ca79bf8430cb6070a6&buyboxToken=smartbuybox-acom-v2-4431d45a-8dcf-4385-8bc5-16d1ca54d5a2-2021-10-15 12:07:55-0300;Americanas
Geladeira/Refrigerador Philco French Door PRF500I Inox 482L;2;5299.99;https://www.americanas.com.br/produto/1768176708?pfm_carac=geladeira&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5f08add779bf8430cb16c081&buyboxToken=smartbuybox-acom-v2-05bf1466-77c0-4574-a8ab-3433f2b919ee-2021-10-15 12:08:08-0300;Americanas
