Descrição;TotalReviews;Preço;Url;Loja
Samsung Smart TV LED 40'' Tizen FHD 40T5300 2020 com WIFI HDR para Brilho e Contraste e Plataforma Tizen;656;2199.99;https://www.americanas.com.br/produto/1704351001?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5f03756c79bf8430cbb803f5;Americanas
Smart TV LED 43'' Full HD Philco PTV43E10N5SF Processador Quad Core Wi-Fi 2 HDMI 1 USB e Mídiacast;210;1899.99;https://www.americanas.com.br/produto/2680750728?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=602417010c07044266314653&buyboxToken=smartbuybox-acom-v2-e972c740-a762-41c7-991b-535c5df146c5-2021-10-15 11:21:16-0300;Americanas
Smart TV LED 32'' Samsung Tizen HD 32T4300 2020 - WIFI, HDR para Brilho e Contraste com Plataforma Tizen 2 HDMI 1 USB - Preta;839;1599.99;https://www.americanas.com.br/produto/1618074503?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5eb0ac4e79bf8430cbf2d99b&buyboxToken=smartbuybox-acom-v2-1762c9f4-78ce-4b7c-abdc-6876f4761f32-2021-10-15 11:13:18-0300;Americanas
"Smart TV LG 32"" HD 32LM627B Wi-Fi Bluetooth HDR Thinqai Compatível Com Inteligência Artificial";56;1599.99;https://www.americanas.com.br/produto/3397039818?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60d9d32652131c3c81fed98b&buyboxToken=smartbuybox-acom-v2-0f288d50-4b73-4cfa-904b-47e53f30ea2a-2021-10-15 11:21:16-0300;Americanas
"Smart TV LED 32"" Philco PTV32G52S HD e Áudio Dolby Conversor Digital Integrado 2 HDMI 1 USB Wi-Fi com Netflix";0;1399.99;https://www.americanas.com.br/produto/1322119303?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5fad957cc5c9bbe5fccfe1a7&buyboxToken=smartbuybox-acom-v2-5c3b1f97-ed25-441e-9682-3862e828c1a5-2021-10-15 11:21:16-0300;Americanas
"Smart TV Android LED 32"" Semp 32S5300 Bluetooth 2 HDMI 1 USB Controle Remoto com Comando de Voz e Google Assistant";687;1405.01;https://www.americanas.com.br/produto/134511851?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5d51b70af216c95bde3fab37&buyboxToken=smartbuybox-acom-v2-3ccbcadf-959c-46ca-b14d-43838e1c139c-2021-10-15 11:21:16-0300;Americanas
Smart TV LED 43'' Samsung 43T5300 Full HD 2 HDMI 1 USB WiFi HDR para Brilho e Contraste com Plataforma Tizen - Preta;356;2199.99;https://www.americanas.com.br/produto/1618074407?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5eb0acc379bf8430cbf3e907&buyboxToken=smartbuybox-acom-v2-747d072a-5fb9-47bf-9b1e-c171d7de2a29-2021-10-15 11:21:16-0300;Americanas
Smart TV AOC Roku LED 32'' 32S5195/78 Wi-Fi 3 HDMI 1 USB com Controle Remoto com atalhos Roku Mobile Miracast;320;1359.15;https://www.americanas.com.br/produto/1515029435?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=612f934509c351890de0b93f&buyboxToken=smartbuybox-acom-v2-94f11f89-5899-47c2-8fe0-9c7ba3c12d40-2021-10-15 11:16:21-0300;Americanas
"Samsung Smart TV 32"" LH32BETBLGGXZD LED 2 HDMI 1 USB";14;1673.0;https://www.americanas.com.br/produto/1943745999?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60db8a6852131c3c81b2e786&buyboxToken=smartbuybox-acom-v2-64cfb441-adee-439f-a86d-bedcbb81d84b-2021-10-15 11:14:15-0300;Americanas
"Smart TV LG 43"" Full HD 43LM6370 Wi-Fi Bluetooth HDR Thinqai Compatível Com Inteligência Artificial";26;2389.99;https://www.americanas.com.br/produto/3397039527?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60d9d3ad52131c3c81ffa096&buyboxToken=smartbuybox-acom-v2-5049725e-1433-448e-8c6c-fc552d362047-2021-10-15 11:21:16-0300;Americanas
Smart TV 40'' Philco PTV40G60SNBL FHD com Tela Infinita Audio Dolby Loja de Aplicativos e Processador Quadcore;316;1699.99;https://www.americanas.com.br/produto/1508411046?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5e84f47079bf8430cbbfa8e6&buyboxToken=smartbuybox-acom-v2-fba0ae48-d0e0-4a39-b292-c3eaaf2c9190-2021-10-15 11:21:16-0300;Americanas
Smart TV AOC Roku LED 43'' 43S5195/78 com Wi-Fi Full HD 3 HDMI 1 USB com Controle Remoto com atalhos Roku Mobile Miracast,;306;1799.99;https://www.americanas.com.br/produto/1515649301?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5e70d46d79bf8430cb40699a&buyboxToken=smartbuybox-acom-v2-38ca7a7e-28b3-4c65-92a6-6e631e80e5f5-2021-10-15 11:13:18-0300;Americanas
"Smart TV LED 43"" Full HD LG 43LM 631 PRO 3 HDMI 2 USB Wi-Fi ThinQ Al Conversor Digital";8;1996.65;https://www.americanas.com.br/produto/3787572503?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=613fb02809c351890db2ba72&buyboxToken=smartbuybox-acom-v2-1713c567-208e-4ffb-8d99-b20bc3ee4c56-2021-10-15 11:21:16-0300;Americanas
"Smart TV Philco 42"" Roku LED Full HD - 42G52RCF com App Mobile 3 Hdmi 2 Usb Wifi Dolby Audio";9;1799.99;https://www.americanas.com.br/produto/3280822551?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6136384b09c351890db9fb8c;Americanas
"Smart TV LED 39"" HD Philco PTV39G60S Processador Quad Core GPU Triple Core HDR Mídia Cast Wi-Fi 2 HDMI 1 USB";86;1599.99;https://www.americanas.com.br/produto/1695817622?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5ef1060d79bf8430cbebf2d7&buyboxToken=smartbuybox-acom-v2-70ee1588-704a-4988-b67f-1dbdc70820fa-2021-10-15 11:21:16-0300;Americanas
Smart TV LED 42'' Philco Full HD - PTV42G70N5CF com Midiacast;0;1699.99;https://www.americanas.com.br/produto/2638610289?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=601460f30c0704426613ce86&buyboxToken=smartbuybox-acom-v2-63a3efbc-8e1c-43f8-9e82-213aaaf3e2d3-2021-10-15 11:21:16-0300;Americanas
"Smart TV LED 32"" Panasonic TC-32FS500B";37;1341.29;https://www.americanas.com.br/produto/1903221517?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5fb52a10762ff36719f1bd92&buyboxToken=smartbuybox-acom-v2-51ff540c-333a-4208-b425-e9fcda7f37f0-2021-10-15 11:21:16-0300;Americanas
Smart TV Led 43'' LG 43LM6300 FHD Thinq AI Conversor Digital Integrado 3 HDMI 2 USB Wi-Fi;853;2799.9;https://www.americanas.com.br/produto/134444740?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60cca96752131c3c81665f77&buyboxToken=smartbuybox-acom-v2-d91b7c3c-53d9-4083-b7fb-ac99105c6b5c-2021-10-15 11:13:22-0300;Americanas
"Samsung Smart Tv 50"" Uhd 4k 50au7700, Processador Crystal 4k, Tela Sem Limites, Visual Livre De Cabos, Alexa Built In.";94;3099.99;https://www.americanas.com.br/produto/3069506106?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=608acb2152131c3c81e23044&buyboxToken=smartbuybox-acom-v2-0da7ea72-082c-45d2-8ece-792d7ca468a4-2021-10-15 11:21:16-0300;Americanas
"Smart TV Philco 39"" Led HD PTV39G65N5CH - 2 Hdmi 1 Usb Wi-Fi Midia Cast";5;1499.99;https://www.americanas.com.br/produto/3456311405?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6136389b09c351890dba9de3;Americanas
Smart TV LED 55” Philco PTV55Q20SNBL Ultra HD 4k HDR Borda Infinita Com Aplicativos E Audio Dolby;282;2339.99;https://www.americanas.com.br/produto/1441079498?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5e222edd1729c3bbf132061b&buyboxToken=smartbuybox-acom-v2-3862bf48-c1f4-4870-81ae-18eef37f2740-2021-10-15 11:21:16-0300;Americanas
"Samsung Smart Tv 60"" Crystal Uhd 4k 60au8000, Painel Dynamic Crystal Color, Design Slim, Tela Sem Limites.";57;3599.99;https://www.americanas.com.br/produto/3069509067?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=608acb6252131c3c81e2ab21&buyboxToken=smartbuybox-acom-v2-26e135ae-3806-4e55-b66f-f4ae96c4690b-2021-10-15 11:21:16-0300;Americanas
"Smart TV Philips 50"" UHD 4K 50PUG7625 Wi-Fi HDR10+ Dolby Vision e Dolby Atmos com Bluetooth Bordas Ultrafinas";112;2499.99;https://www.americanas.com.br/produto/2742387144?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6012d1b30c07044266c7eb4c&buyboxToken=smartbuybox-acom-v2-258781bc-ecdf-4145-b388-320ad545b097-2021-10-15 11:21:16-0300;Americanas
"Smart TV LED LG 24"" Monitor Wi-Fi Webos 3.5 DTV Machine Ready";0;1148.99;https://www.americanas.com.br/produto/1708933455?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5ec52b7d79bf8430cbc05c97&buyboxToken=smartbuybox-acom-v2-a15a328b-b6c5-43ac-8437-8c28996a68e9-2021-10-15 11:21:16-0300;Americanas
"Samsung Smart Tv 70"" Uhd 4k 70au7700, Processador Crystal 4k, Tela Sem Limites, Visual Livre De Cabos, Alexa Built In.";29;4749.99;https://www.americanas.com.br/produto/3069544698?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60931af552131c3c81543dbe&buyboxToken=smartbuybox-acom-v2-83bbc757-2a6e-4c90-b2fe-732b5e0235e5-2021-10-15 11:21:16-0300;Americanas
"Smart TV Roku 50"" Philco Led UHD 4K PTV50RCG70BL Wi-Fi 4 HDMI 2 USB e Midiacast";39;2199.99;https://www.americanas.com.br/produto/2638610377?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6005c45f0c07044266966f0b&buyboxToken=smartbuybox-acom-v2-baeb3948-6e56-4732-881f-feb4d4474033-2021-10-15 11:21:16-0300;Americanas
"Smart TV LED 32"" HD LG 32LM 621 PRO 3 HDMI 2 USB Wi-Fi ThinQ Al Conversor Digital";0;1480.93;https://www.americanas.com.br/produto/3829892080?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=612e148709c351890d7e7677;Americanas
"Smart TV 50"" LG 50UN7310 UHD 4K Wifi Bluetooth Hdr Inteligência Artificial Thinq Ai";569;2780.0;https://www.americanas.com.br/produto/1733188661?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=613af85709c351890d98a632;Americanas
Smart TV LED 43” LG 43UP7500 4K UHD Wi-Fi Bluetooth HDR ThinQAI Compatível Com Inteligência Artificial;23;2589.99;https://www.americanas.com.br/produto/3280455586?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60afcf5552131c3c81642ee3&buyboxToken=smartbuybox-acom-v2-44d1e521-ff17-4b8c-b5f5-75971b83d53f-2021-10-15 11:11:55-0300;Americanas
Smart TV Led 32 LG HD Thinq ai Conversor Digital Integrado 3 hdmi 2 USB Wi-Fi - Preta;0;1399.99;https://www.americanas.com.br/produto/3923593191?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=614368fc09c351890da7e717;Americanas
"Samsung Smart Tv 65"" Uhd 4k 65au7700, Processador Crystal 4k, Tela Sem Limites, Visual Livre De Cabos, Alexa Built In.";14;4399.99;https://www.americanas.com.br/produto/3069510471?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60931b1352131c3c8154508b&buyboxToken=smartbuybox-acom-v2-0d42c5c2-3da3-4a40-a034-47904d20edc5-2021-10-15 11:21:16-0300;Americanas
"Lg Smart Tv Pro Ai 32"" 32lm621cbsb.awz";15;1444.15;https://www.americanas.com.br/produto/1328314222?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=610af77152131c3c813090bf&buyboxToken=smartbuybox-acom-v2-105f828f-9798-420d-a9f4-8e9175280c05-2021-10-15 11:21:16-0300;Americanas
"Smart TV LG 65"" 4K UHD 65UP7550 Wi-Fi Bluetooth HDR Inteligência Artificial Thinq Smart Magic Google Alexa";0;4189.99;https://www.americanas.com.br/produto/3280454381?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60b6b21b52131c3c814e3d97&buyboxToken=smartbuybox-acom-v2-1bd70d71-bd34-46e0-b618-9fb3935b72e4-2021-10-15 11:16:21-0300;Americanas
"Smart TV Led 50"" Semp SK8300 4K HDR Android  Wi-Fi 3 HDMI 2 USB Controle Remoto com atalhos Chromecast Integrado";372;2499.99;https://www.americanas.com.br/produto/1843430826?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5f456f6dcc79e88b863b53a8&buyboxToken=smartbuybox-acom-v2-b13ad426-fe1d-4446-8ff6-795f53003b0d-2021-10-15 11:21:16-0300;Americanas
"Smart Tv Philips 43"" Full Hd Sem Bordas Hdr Plus Wifi Conversor Digital Netflix Youtube Globoplay e Prime Video";29;1899.99;https://www.americanas.com.br/produto/2815303740?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=603d1ec00c070442660ca9c7&buyboxToken=smartbuybox-acom-v2-b4246c3e-78da-4fc1-b96d-8b97d75f2fc9-2021-10-15 11:21:16-0300;Americanas
"Smart TV Led 32"" Tcl 32s6500 HD Android, Bluetooth, Controle Remoto com Comando de voz, Google Assistant";434;1769.0;https://www.americanas.com.br/produto/134244705?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6143a05c09c351890deb55a9&buyboxToken=smartbuybox-acom-v2-496712a3-93ba-4782-862d-24aa2e051bec-2021-10-15 11:15:39-0300;Americanas
"Smart TV LED 32"" HD Philco PTV32D10N5SKH 2 HDMI 2 USB Wi-Fi Integrado";0;1499.0;https://www.americanas.com.br/produto/3423468545?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=61201f7609c351890d0684e7;Americanas
"Smart TV 50"" LG 50UN731C UHD 4K 3 HDMI 2 USB Wi-Fi Assitente Virtual Bluetooth";24;2689.9;https://www.americanas.com.br/produto/1902703080?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=613a9a1309c351890d6dce0f&buyboxToken=smartbuybox-acom-v2-a77a101c-0d91-4467-a61d-dabb3ab061d5-2021-10-15 11:21:16-0300;Americanas
"Smart TV Roku 58"" Philco Led UHD 4K PTV58G70RCBL Wi-Fi 4 HDMI 2 USB e Midiacast";20;2599.99;https://www.americanas.com.br/produto/3144945370?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60afd00952131c3c8166ab88&buyboxToken=smartbuybox-acom-v2-a3b06c19-7cee-4202-96c8-62f50d937aaf-2021-10-15 11:21:16-0300;Americanas
"Samsung Smart Tv 50"" Crystal Uhd 4k 50au8000, Painel Dynamic Crystal Color, Design Slim, Tela Sem Limites.";27;3039.99;https://www.americanas.com.br/produto/3068486001?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60931ac852131c3c81541f8d&buyboxToken=smartbuybox-acom-v2-75091ec6-9fc1-4b78-b996-6d1e94fd24b2-2021-10-15 11:21:16-0300;Americanas
"Samsung Smart Tv 55"" Uhd 4k 55au7700, Processador Crystal 4k, Tela Sem Limites, Visual Livre De Cabos, Alexa Built In.";16;3299.99;https://www.americanas.com.br/produto/3069509622?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=608acb7f52131c3c81e2dfb5&buyboxToken=smartbuybox-acom-v2-56b43f77-ed7f-4010-b67c-f58ffb462c8d-2021-10-15 11:21:16-0300;Americanas
"Lg Smart Tv Pro 4k Thinq Ai 43"" 43un731c0sc";9;2083.11;https://www.americanas.com.br/produto/1902702925?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5f5bb1161b186381b56b309a;Americanas
"Smart TV LED 40"" Panasonic TC-40FS500B Full HD";31;2071.26;https://www.americanas.com.br/produto/1903221533?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5f739e041b186381b5c002ee&buyboxToken=smartbuybox-acom-v2-fec5eab7-14e1-4666-9dc7-cd23fbaef064-2021-10-15 11:21:16-0300;Americanas
"Smart TV Philco 32"" PTV32N5SE10H LED HD Conversor Digital 2 HDMI 2 USB Wi-Fi com Netflix e Mais Aplicativos";0;1799.9;https://www.americanas.com.br/produto/3064506166?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60c8f9fe52131c3c81fb01d7&buyboxToken=smartbuybox-acom-v2-114cb13c-9b07-49fe-9869-b2aa99baf3dc-2021-10-15 11:21:16-0300;Americanas
Samsung Smart TV LED 40'' Tizen FHD 40T5300 2020 + Cabo HDMI 1.4 1,8 m High Speed w/ Ethernet;7;1999.99;https://www.americanas.com.br/produto/2925528747?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6168093c09c351890d004aff&buyboxToken=smartbuybox-acom-v2-e5e33b54-5658-4069-a771-a62161f1d5b3-2021-10-15 11:21:16-0300;Americanas
"Smart Google Tv Philco 50"" Led Borderless 4k, Fast Smart, Áudio Dolby, Com Chromecast Built In - Ptv50g71agbls 4k";102;2599.99;https://www.americanas.com.br/produto/1803603243?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=604fd5310c07044266e25763&buyboxToken=smartbuybox-acom-v2-7d405f5c-8557-4602-a1da-47fe533537c2-2021-10-15 11:21:16-0300;Americanas
Smart Tv Philco Tela 40 Polegadas, Resolução Full Hd Com Inteligência Artificial Google Assistente - Tv Ptv40g71agbl Led;103;1899.9;https://www.americanas.com.br/produto/2285113471?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6103dba552131c3c81b644df&buyboxToken=smartbuybox-acom-v2-7b7411b2-880e-4b2c-84ba-499fde91eb0b-2021-10-15 11:17:53-0300;Americanas
"Samsung Smart Tv 43"" Uhd 4k 43au7700, Processador Crystal 4k, Tela Sem Limites, Alexa Built In, Controle Único";99;2920.03;https://www.americanas.com.br/produto/3068549702?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60cb961952131c3c81eb01b9;Americanas
Smart TV LED 55” LG 55UP7550 4K UHD 55UP7550 Wi-Fi Bluetooth HDR Inteligência Artificial ThinQ Smart Magic Google Alexa;10;3068.01;https://www.americanas.com.br/produto/3280464706?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=612d396809c351890d2a0c75;Americanas
Smart TV LED 75” LG 75UP8050 4K UHD Wi-Fi Bluetooth HDR Inteligência Artificial ThinQ Smart Magic Google Alexa;1;5699.99;https://www.americanas.com.br/produto/3280457047?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60b6b41a52131c3c8151e826&buyboxToken=smartbuybox-acom-v2-c61d559e-8a8b-4690-87f2-7e86737dc1c9-2021-10-15 11:21:17-0300;Americanas
