Descrição;Preço;Data
"Notebook Asus Vivobook X543MA-GQ1300T Intel Celeron-N4020 4GB 500GB W10 15.6"" Cinza Escuro";R$ 2.172,20;2021-10-21
"Notebook Multilaser PC134 Legacy Cloud Intel Atom-Z8350 2GB 64GB W10 14"" Cinza";R$ 1.299,99;2021-10-21
"Notebook Lenovo Ultrafino Ideapad S145 AMD Ryzen 5 12GB 1TB Linux 15.6"" Prata";R$ 3.047,78;2021-10-21
"Notebook Vaio FE15 Intel Core i3-10110U 4GB 128GB SSD Linux 15.6"" Chumbo Escuro";R$ 2.699,99;2021-10-21
Notebook Samsung Book Intel Celeron-6305 4GB 500GB W10 FHD 15.6'' Cinza Chumbo NP550XDA-KO1BR;R$ 2.239,00;2021-10-21
"Notebook Ultra UB320 Intel Pentium-J3710 4GB 120GB W10 14"" - Preto";R$ 1.737,70;2021-10-21
Notebook Samsung Book Intel Core i5-1135G7 8GB 256GB SSD (Intel Iris Xe) Windows 10 FHD Tela 15.6'' Cinza Chumbo NP550XDA-KF2BR;R$ 3.689,00;2021-10-21
Notebook Positivo Motion Q464C Intel Atom Quad Core 4GB 64GB eMMC 14,1'' W10 - Cinza;R$ 1.799,00;2021-10-21
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i5-10210U 8GB 256GB SSD W10 15.6"" Prata";R$ 3.499,99;2021-10-21
"Notebook Dell Inspiron I15-3501-A25P Intel Core I3-1005G1 4GB 256GB SSD W10 15.6"" - Preto";R$ 3.099,99;2021-10-21
Notebook Samsung Book Intel Celeron-6305 4GB 500GB W10 FHD 15,6'' Branco NP550XDA-KO2BR;R$ 2.489,00;2021-10-21
"Notebook Positivo 2 em 1 Duo C464C Intel Celeron 4GB 64GB W10 IPS Full HD 11.6""";R$ 1.659,28;2021-10-21
Notebook Compaq Presario 420 Intel Pentium-N3700 4GB 120GB W10 14,1'' Cinza;R$ 1.823,87;2021-10-21
"Notebook Acer Aspire 5 A515-54-50BT Intel Core i5-10210U 8GB 512GB W10 15,6"" Prata";R$ 3.987,59;2021-10-21
Notebook Positivo Motion Q464C Intel Atom Z8350 4GB eMMC 64GB W10 14.1'' - Vermelho;R$ 1.499,99;2021-10-21
"Notebook Acer Aspire 5 A515-54G-53XP Intel Core i5-10210U 8GB (MX250 2GB) 256GB W10 15.6"" Prata";R$ 3.868,31;2021-10-21
"Notebook Dell Inspiron I15-3501-A10P Intel Pentium Gold-7505 4GB 128GB W10 HD 15.6"" Preto";R$ 2.757,01;2021-10-21
Notebook Samsung Book Intel Core I3-1115G4 4GB 1TB W10 FHD 15.6'' Cinza Chumbo NP550XDA-KT1BR;R$ 2.966,53;2021-10-21
"Notebook Lenovo Ultrafino Ideapad S145 Intel Core i5-1035G1 8GB 256GB SSD W10 15.6"" Prata";R$ 3.399,99;2021-10-21
Notebook Acer Aspire 3 A315-23-R6M7 AMD R5-3500U 8GB 256GB SSD W10 15,6'';R$ 3.259,50;2021-10-21
Notebook Acer Aspire 3 A315-23-R1J9 AMD Ryzen 7-3700U 12GB (AMD Radeon RX Vega 10) 256GB SSD W10 15,6'' - Preto;R$ 3.779,99;2021-10-21
Notebook Acer Aspire 5 A514-53-39KH Intel Core I3 8GB ram 256GB ssd 14' Windows 10;R$ 3.086,55;2021-10-21
Notebook Samsung Book Intel Core i5-1135G7 8GB 1TB (Intel Iris Xe) W10 FHD 15.6'' Branco NP550XDA-KF4BR;R$ 3.689,00;2021-10-21
"Notebook Multilaser PC302 2 Em 1 Intel Pentium-N3700 4GB 64GB W10 11.6"" Prata";R$ 1.549,99;2021-10-21
"Notebook Dell Inspiron 3501-M46P 15.6"" HD 10ª Geração Intel Core i5 8GB 256GB SSD Windows Preto";R$ 4.399,00;2021-10-21
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i5-10210U 8GB (GeForce MX330 2GB) 256GB SSD W10 15.6"" Prata";;2021-10-21
Notebook Samsung Book Intel Core I3-1115G4 4GB 1TB W10 FHD 15.6'' Branco NP550XDA-KT2BR;R$ 2.989,00;2021-10-21
Notebook Acer Aspire Nitro 5 AN515-54-528V 9ª Intel Core i5 8GB (Geforce GTX1650 4GB) 1TB 128GB SSD 15.6 FHD W10 Preto;R$ 5.389,00;2021-10-21
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i3-10110U 4GB 1TB W10 15.6"" Prata";R$ 2.949,02;2021-10-21
Notebook Acer Aspire 3 A315-23-R6HC AMD R5 3500U 8GB 512GB SSD W10 15,6'';R$ 3.571,99;2021-10-21
Notebook Samsung Book Intel Core I7-1165G7 8GB 256GB SSD (Intel Iris Xe) Windows 10 FHD 15.6'' Cinza Chumbo NP550XDA-KS1BR;R$ 4.789,00;2021-10-21
Notebook Acer A515-54-53VN Intel Core i5-10210U 8GB 256GB SSD W10 15.6'' - Black;R$ 3.799,99;2021-10-21
Notebook Acer AN515-55-51D3 Intel Core i5-10300H 8GB (GeForce GTX 1650) 512GB SSD W10 15,6'' - Black;R$ 5.499,99;2021-10-21
"Notebook Acer Aspire 5 AN515-44-R8HN AMD Ryzen 7-4800H 8GB (GeForce GTX 1650 4GB) 512GB SSD W10 15.6"" Preto";R$ 6.299,99;2021-10-21
Notebook Asus X515JA-EJ592R Intel Core i5-1035G1 8GB 256GB SSD W10 Pro 15.6'' Cinza;R$ 4.482,99;2021-10-21
"Notebook Dell Inspiron I15-3501-A70P Intel Core i7-1165G7 8GB Geforce MX330 2GB 256GB W10 15.6"" Preto";R$ 4.752,54;2021-10-21
