nome;num_avali;avali;preco
Notebook Acer Core i5-10210U 8GB 512GB SSD Tela 15.6” Windows 10 Aspire 5 A515-54-50BT;297;5.0;3999.00
Notebook Samsung Dual Core 4GB 500GB Tela Full HD 15.6” Windows 10 Book NP550XDA-KO1BR;251;4.5;2349.00
Notebook Positivo Intel Atom Quad Core 4GB 64GB eMMC Tela 14” Windows 10 Motion Q464C;468;4.5;1519.90
"Notebook 2 em 1 Positivo Dual Core 4GB 64GB eMMC Tela Full HD 11.6"" Windows 10 Duo C464C";360;4.5;1699.00
Notebook Samsung Core i3-1115G4 4GB 1TB Tela Full HD 15.6” Windows 10 Book NP550XDA-KT1BR;272;4.5;3099.00
Notebook Positivo Intel Atom Quad Core 4GB 128GB eMMC Tela 14” Windows 10 Motion Gray Q4128C-S;485;4.5;1799.00
Notebook Lenovo Dual Core 4GB 128GB SSD Tela 15.6” Windows 10 Ideapad 3i 82BU0001BR;134;5.0;2399.00
"Notebook Lenovo Core i3-10110U 4GB 1TB Tela 15.6"" Windows 10 Ideapad 3i 82BS0002BR";90;4.5;2999.00
"Notebook Multilaser Legacy Cloud Intel Z8530 2GB RAM Armazenamento 32GB Windows 10 Home Tela 14"" HD Grafite PC131";14;4.5;1487.90
Notebook Positivo Motion Q464C Tela 14 4GB Quad Core;19;5.0;1519.90
Notebook Positivo Dual Core 4GB 128GB SSD Tela 14” Windows 10 Motion C4128E-S;196;4.5;1899.00
Notebook Lenovo AMD Ryzen 5-3500U 8GB 1TB Tela 15.6” Windows 10 Ideapad S145 81V70004BR;559;4.5;3499.00
"Notebook Samsung Book X30 Core I5 8GB 1TB 15,6"" - Windows 10";0;0;3749.00
Notebook Samsung Core i5-1135G7 8GB 256GB SSD Tela Full HD 15.6” Windows 10 Book NP550XDA-KF2BR;206;5.0;2999.00
Notebook Acer Aspire 5 A514-53-32LB Intel Core I3 4GB RAM 128GB SSD 14.0` Windows 10;52;5.0;5599.00
"Notebook Gamer Acer NVIDIA GeForce GTX 1650 Core i5-9300H 8GB 1TB 128GB SSD Tela Full HD 15.6"" Windows 10 Aspire Nitro 5 AN515-54-528V";246;5.0;1749.00
Notebook Positivo Motion Gold Q464C Intel Atom Quad Core 4GB 64GB SSD 14'' LED Webcam HD Windows 10 Home - Dourado;11;4.5;2479.00
"Notebook Samsung 11.6"" Chromebook 4 Intel Celeron 32 GB + 4GB UHD Graphics 600";11;5.0;3699.00
Notebook VAIO Core i5-8250U 12GB 1TB Tela Full HD 14” Linux FE14 VJFE41F11X-B1121H;114;4.5;4899.00
Notebook Dell Core i7-8565U 8GB 1TB 128GB SSD Placa de Vídeo 2GB Tela 15.6” e Windows 10 Inspiron 3583-AS110S;110;5.0;3199.00
Notebook Samsung Core i3-1115G4 8GB 1TB Tela Full HD 15.6” Windows 10 Book NP550XDA-KT5BR;182;4.5;3799.00
Notebook Samsung Core i5-1135G7 8GB 1TB Tela Full HD 15.6” Windows 10 Book NP550XDA-KF1BR;115;5.0;3799.00
"Notebook Lenovo Core i5-10210U 8GB 256GB SSD Tela 15.6"" Windows 10 Ideapad 3i 82BS0005BR";95;5.0;3099.00
Notebook Samsung Core i3-1115G4 4GB 1TB Tela Full HD 15.6” Windows 10 Book NP550XDA-KT2BR;74;4.5;2999.00
Notebook Samsung Dual Core 4GB 64GB SSD Tela Full HD 13.3” Windows 10 Flash F30 NP530XBB-AD1BR;492;4.5;2428.00
Notebook Samsung Dual Core 4GB 500GB Tela Full HD 15.6” Windows 10 Book NP550XDA-KO1BR + Microsoft 365 Personal;1;5.0;4199.00
"Notebook Dell Inspiron 3501-M46S 15.6"" HD 10ª Geração Intel Core i5 8GB 256GB SSD Windows";40;5.0;5199.00
Notebook Gamer Lenovo NVIDIA GeForce GTX 1650 Core i5-10300H 8GB 256GB SSD Tela Full HD 15.6” Windows 10 Ideapad Gaming 3i 82CG0002BR;7;4.5;1778.00
"Notebook 2 em 1 Positivo Dual Core 4GB 64GB eMMC Tela Full HD 11.6"" Windows 10 Duo C464C + Microsoft 365 Personal com 1TB na Nuvem";17;5.0;8899.00
"MacBook Air de 13"" 256GB SSD e M1 da Apple Cinza-espacial";28;5.0;2528.90
"Notebook Asus, Intel® Celeron® N4020 Dual Core, 4GB, 128GB, Tela 15,6"", Intel UHD600, Windows Pro, Black - E510MA-BR295R";3;4.5;1499.00
Notebook Multilaser Legacy Intel Quad Core 2GB 64GB Win 10;2;3.5;1997.00
Notebook Samsung Chromebook Dual-Core N3060 2GB Ram 16GB Tela 11.6 Chrome OS;18;4.0;3049.00
"Notebook Dell Inspiron i3501-U10P 15.6"" HD 11ª Geração Intel Pentium Gold 4GB 128GB SSD Linux Preto";109;5.0;2999.00
"Notebook Dell Inspiron i3501-M10P 15.6"" HD 11ª Geração Intel Pentium Gold 4GB 128GB SSD Windows 10 Preto";25;4.5;2399.00
