descricao;preco;avaliacao;quantidade_avaliacoes;URL
Notebook Acer Aspire 5 A515-54-57EN Intel Core i5;3419.1;3;34;https://www.magazineluiza.com.br/notebook-acer-aspire-5-a515-54-57en-intel-core-i5-8gb-256gb-ssd-156-full-hd-led-windows-10/p/230310100/in/ntmk/
"Notebook Dell Inspiron i3501-M10P 15.6"" HD 11ª Geração Intel Pentium Gold 4GB 128GB SSD Windows 10 Preto";2699.1;4;107;https://www.magazineluiza.com.br/notebook-dell-inspiron-i3501-m10p-15-6-hd-11a-geracao-intel-pentium-gold-4gb-128gb-ssd-windows-10-preto/p/kjcea27eah/in/nodl/
Notebook Samsung Book NP550XDA-KF2BR Intel Core i5;3329.1;4;8;https://www.magazineluiza.com.br/notebook-samsung-book-np550xda-kf2br-intel-core-i5-8gb-256gb-ssd-156-full-hd-windows-10/p/228721600/in/nsbo/
Notebook Dell Inspiron 15 3000 3501-A25P;2879.1;4;5;https://www.magazineluiza.com.br/notebook-dell-inspiron-15-3000-3501-a25p-intel-core-i3-4gb-256gb-ssd-156-led-windows-10/p/228079200/in/nodl/
Notebook HP 256 G8 Intel Core i3 8GB 256GB SSD;2924.1;4;26;https://www.magazineluiza.com.br/notebook-hp-256-g8-intel-core-i3-8gb-256gb-ssd-156-lcd-windows-10/p/228853300/in/ntmk/
Notebook Samsung Chromebook 11.6 HD Intel Celeron N4000 32GB e.MMC 4GB Chrome OS XE310XBA-KT1BR-ES;1538.1;4;8;https://www.magazineluiza.com.br/notebook-samsung-chromebook-11-6-hd-intel-celeron-n4000-32gb-e-mmc-4gb-chrome-os-xe310xba-kt1br-es/p/beb73f3aaa/in/chro/
Notebook Lenovo IdeaPad3i 82BS0005BR Intel Core i5;3599.1;5;1;https://www.magazineluiza.com.br/notebook-lenovo-ideapad3i-82bs0005br-intel-core-i5-8gb-256gb-ssd-156-lcd-windows-10/p/135302600/in/ntmk/
Notebook Samsung Book NP550XDA-KT2BR Intel Core i3;2564.1;3;13;https://www.magazineluiza.com.br/notebook-samsung-book-np550xda-kt2br-intel-core-i3-4gb-1tb-156-full-hd-led-windows-10/p/228721400/in/nsbo/
Notebook Gamer Acer Nitro 5 AN515-54-58CL Intel;5129.1;4;97;https://www.magazineluiza.com.br/notebook-gamer-acer-nitro-5-an515-54-58cl-intel-core-i5-8gb-1tb-128gb-ssd-156-nvidia-gtx-1650/p/226192400/in/ntbg/
Notebook Asus X515JF-EJ153T Intel Core i5 8GB 256G;3599.1;5;0;https://www.magazineluiza.com.br/notebook-asus-x515jf-ej153t-intel-core-i5-8gb-256g-ssd-156-full-hd-placa-de-video-2gb-windows-10/p/230019500/in/ntmk/
Notebook Asus VivoBook X543MA-GQ1300T;2069.1;2;15;https://www.magazineluiza.com.br/notebook-asus-vivobook-x543ma-gq1300t-intel-celeron-dual-core-4gb-500gb-156-windows-10/p/135320000/in/ntmk/
