Descrição;Preço;TotalReviews;Loja;Categoria
"Notebook Acer Aspire 5 A515-54G-53XP Intel Core i5-10210U 8GB (MX250 2GB) 256GB W10 15.6"" Prata";3699.99;12;Submarino;Notebook
Notebook Samsung Book Intel Core i5-1135G7 8GB 256GB SSD (Intel Iris Xe) Windows 10 FHD Tela 15.6'' Cinza Chumbo NP550XDA-KF2BR;3689.0;38;Submarino;Notebook
"Notebook Lenovo Ultrafino Ideapad S145 AMD Ryzen 5 12GB 1TB Linux 15.6"" Prata";3048.35;19;Submarino;Notebook
"Notebook Acer Aspire 5 A515-54-50BT Intel Core i5-10210U 8GB 512GB W10 15,6"" Prata";3889.0;21;Submarino;Notebook
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i5-10210U 8GB 256GB SSD W10 15.6"" Prata";3499.99;4;Submarino;Notebook
"Notebook Dell Inspiron I15-3501-A10P Intel Pentium Gold-7505 4GB 128GB W10 HD 15.6"" Preto";2759.74;5;Submarino;Notebook
"Notebook Acer Aspire 5 AN515-44-R8HN AMD Ryzen 7-4800H 8GB (GeForce GTX 1650 4GB) 512GB SSD W10 15.6"" Preto";6299.99;11;Submarino;Notebook
"Notebook Dell Inspiron I15-3501-A25P Intel Core I3-1005G1 4GB 256GB SSD W10 15.6"" - Preto";3099.99;14;Submarino;Notebook
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i5-10210U 8GB (GeForce MX330 2GB) 256GB SSD W10 15.6"" Prata";4099.0;3;Submarino;Notebook
"MacBook Air 13"" Apple M1 (8GB 256GB) Prateado";8413.61;1;Submarino;Notebook
Notebook Acer AN515-55-51D3 Intel Core i5-10300H 8GB (GeForce GTX 1650) 512GB SSD W10 15,6'' - Black;5499.99;2;Submarino;Notebook
Notebook Acer Aspire Nitro 5 AN515-54-528V 9ª Intel Core i5 8GB (Geforce GTX1650 4GB) 1TB 128GB SSD 15.6 FHD W10 Preto;5389.0;7;Submarino;Notebook
"Notebook Acer Aspire 5 A515-54G-53XP Intel Core i5-10210U 8GB (MX250 2GB) 256GB W10 15.6"" Prata";3699.99;12;Submarino;Notebook
Notebook Samsung Book Intel Core i5-1135G7 8GB 256GB SSD (Intel Iris Xe) Windows 10 FHD Tela 15.6'' Cinza Chumbo NP550XDA-KF2BR;3689.0;38;Submarino;Notebook
"Notebook Lenovo Ultrafino Ideapad S145 AMD Ryzen 5 12GB 1TB Linux 15.6"" Prata";3048.35;19;Submarino;Notebook
"Notebook Acer Aspire 5 A515-54-50BT Intel Core i5-10210U 8GB 512GB W10 15,6"" Prata";3889.0;21;Submarino;Notebook
