Descrição;Preço;TotalReviews;Loja;Categoria;Processador
Samsung BookIntel® Core™ i3-1115G4, 11 Geração, Windows 10 Home, 4GB, 1TB, 15.6'' Full HD LED, 1.86kg;2789.09;46.0;Amazon;Notebook;i3
Notebook Gateway Ultra Slim Laptop, 14,1 polegadas IPS FHD, Intel Core i3-1005G1 até 3,4 GHz, 20 GB RAM, 1 TB SSD, USB-C, leitor FP, webcam, HDMI, cabo HDMI Mytix, Win 10 S, verde;6254.41;0.0;Amazon;Notebook;i3
"Notebook Lenovo Ultrafino ideapad S145, Intel Core i3-1005G1, 4GB RAM, 128GB SSD + Microsoft 365 Personal Windows 10 S 15.6""";3274.53;514.0;Amazon;Notebook;i3
"Notebook Gateway Ultra Slim Laptop, 14,1"" IPS FHD, Intel Core i3-1005G1 até 3,4GHz, 20GB RAM, 1TB SSD, USB-C, FP Reader, Webcam, HDMI, Mytix Ethernet USB Hub, Win 10 S, preto";6336.3;0.0;Amazon;Notebook;i3
Samsung BookIntel® Core™ i3-1115G4, 11 Geração, Windows 10 Home, 4GB, 1TB, 15.6'' Full HD LED, 1.86kg;2800.03;37.0;Amazon;Notebook;i3
"Notebook Dell Inspiron i3501-U10P 15.6"" HD 11ª Geração Intel Pentium Gold 4GB 128GB SSD Linux Preto";2849.0;12.0;Amazon;Notebook;i3
"Notebook Gateway Ultra Slim Laptop, 14,1"" IPS FHD, Intel Core i3-1005G1 até 3.4GHz, 4GB de RAM, SSD de 128 GB, USB-C, FP Reader, Webcam, HDMI, Mytix cabo HDMI, Win 10 S, Verde";4741.24;0.0;Amazon;Notebook;i3
Notebook Gateway Ultra Slim Laptop, 14,1 polegadas IPS FHD, Intel Core i3-1005G1 até 3,4 GHz, 8 GB de RAM, 256 GB SSD, USB-C, leitor FP, webcam, HDMI, hub USB Mytix, Win 10 S, verde;5067.03;0.0;Amazon;Notebook;i3
"Notebook Dell Inspiron i3501-M10P 15.6"" HD 11ª Geração Intel Pentium Gold 4GB 128GB SSD Windows 10 Preto";2899.0;1.0;Amazon;Notebook;i3
"Notebook Ultra Intel Core I3 4GB 1TB HDD Linux 14,1"" Prata - UB422";2140.0;3.0;Amazon;Notebook;i3
Notebook Gateway ultrafino para laptop, 14,1 polegadas IPS FHD, Intel Core i3-1005G1 até 3,4 GHz, 8 GB de RAM, 512 GB SSD, USB-C, leitor FP, webcam, HDMI, cabo HDMI Mytix, Win 10 S, verde;5415.05;0.0;Amazon;Notebook;i3
Notebook Gateway Ultra Slim Laptop, 14,1 polegadas IPS FHD, Intel Core i3-1005G1 até 3,4 GHz, 12 GB RAM, 256 GB SSD, USB-C, leitor FP, webcam, HDMI, hub USB Mytix, Win 10 S, preto;5036.32;0.0;Amazon;Notebook;i3
"Notebook Lenovo Ultrafino ideapad S145 i3 - 8130U 4GB 1TB Windows 10 15.6"", Prata";4999.0;736.0;Amazon;Notebook;i3
Notebook Gateway ultrafino para laptop, 14,1 polegadas IPS FHD, Intel Core i3-1005G1 até 3,4 GHz, 20 GB RAM, 512 GB SSD, USB-C, leitor FP, webcam, HDMI, cabo HDMI Mytix, Win 10 S, preto;5805.8;0.0;Amazon;Notebook;i3
"Notebook Gateway Ultra Slim Laptop, 14,1"" IPS FHD, Intel Core i3-1005G1 até 3.4GHz, 8GB de RAM, 512GB SSD, USB-C, FP Reader, Webcam, HDMI, Ethernet Mytix USB Hub, Win 10 S, Verde";5507.18;0.0;Amazon;Notebook;i3
"Notebook Vaio FE14 VJFE41F11X-B0611W, Intel Core i3 8ª geração, 4GB, 256GB SSD, 14"" Full HD, Windows 10 - Branco";3384.65;93.0;Amazon;Notebook;i3
"Notebook Gateway Ultra Slim Laptop, 14,1"" IPS FHD, Intel Core i3-1005G1 até 3.4GHz, 20GB de RAM, 512GB SSD, USB-C, FP Reader, Webcam, HDMI, Ethernet Mytix USB Hub, Win 10 S, Verde";5793.4;0.0;Amazon;Notebook;i3
Notebook Gateway ultrafino para laptop, 14,1 polegadas IPS FHD, Intel Core i3-1005G1 até 3,4 GHz, 12 GB RAM, 512 GB SSD, USB-C, leitor FP, webcam, HDMI, cabo HDMI Mytix, Win 10 S, verde;5384.35;0.0;Amazon;Notebook;i3
"Notebook Gateway Ultra Slim Laptop, 14,1"" IPS FHD, Intel Core i3-1005G1 até 3,4GHz, 12GB RAM, 512GB SSD, USB-C, leitor FP, webcam, HDMI, hub USB Mytix, Win 10 S, preto";5508.95;0.0;Amazon;Notebook;i3
Notebook Gateway ultrafino para laptop, 14,1 polegadas IPS FHD, Intel Core i3-1005G1 até 3,4 GHz, 12 GB RAM, 256 GB SSD, USB-C, leitor FP, webcam, HDMI, cabo HDMI Mytix, Win 10 S, verde;4944.2;0.0;Amazon;Notebook;i3
"Notebook Gateway Ultra Slim Laptop, 14,1"" IPS FHD, Intel Core i3-1005G1 até 3.4GHz, 12GB de RAM, SSD de 256GB, USB-C, FP Reader, Webcam, HDMI, Ethernet Mytix USB Hub, Win 10 S, Verde";5036.32;0.0;Amazon;Notebook;i3
"Notebook Samsung Book E40 Intel Core i3-10110U 4GB 256GB SSD 15,6"" Full HD Windows 10 Home, Prata";3799.0;12.0;Amazon;Notebook;i3
Notebook Gateway Ultra Slim Laptop, 14,1 polegadas IPS FHD, Intel Core i3-1005G1 até 3,4 GHz, 4 GB de RAM, 128 GB SSD, USB-C, leitor FP, webcam, HDMI, hub USB Mytix, Win 10 S, verde;4823.13;0.0;Amazon;Notebook;i3
"NOTEBOOK ACER 14"" HD A514-53-339S/ NX.A4LAL.002/ I3-1005G1/ 8GB/ 512GB SSD/ W10 HOME";4299.0;16.0;Amazon;Notebook;i3
"Notebook Lenovo Ultrafino IdeaPad S145, Intel Core i3-1005G1, 4GB RAM, 1TB HD, Windows 10, 15.6"", Prata";3591.0;323.0;Amazon;Notebook;i3
"Notebook VAIO FE14 VJFE42F11X-B1721H Intel Core i3 10110U 4GB 256GB 14"" Full HD Windows 10 Home - Grey (Chumbo Escuro)";3599.0;0.0;Amazon;Notebook;i3
"Notebook Dell Inspiron i3501-M20P 15.6"" HD 10ª Geração Intel Core i3 4GB 128GB SSD Windows 10 Preto";3299.0;0.0;Amazon;Notebook;i3
"Kit Notebook Dell Inspiron i3501-M10PC 15.6"" HD 11ª Geração Intel Pentium Gold 4GB 128GB SSD Windows 10 + Capa Essential";3049.0;0.0;Amazon;Notebook;i3
"Notebook Dell Inspiron i15-3501-A20P 15.6"" HD 10ª Geração Intel Core i3 4GB 128GB SSD Windows 10 Microsoft 365";3712.77;4.0;Amazon;Notebook;i3
Notebook Acer A315 Core I3-1005g1 8gb 256ssd+1tb 15,6 Hd;3899.0;0.0;Amazon;Notebook;i3
"Notebook Lenovo BS145 i3-1005G1 4GB 500GB Windows 10 Pro 15.6"" Antirreflexo 82HB0002BR Preto";3199.0;0.0;Amazon;Notebook;i3
"Notebook Gateway Ultra Slim Laptop, 14,1"" IPS FHD, Intel Core i3-1005G1 até 3,4GHz, 20GB RAM, 1TB SSD, USB-C, FP Reader, Webcam, HDMI, Mytix Ethernet USB Hub, Win 10 S, preto";6336.3;0.0;Amazon;Notebook;i3
Notebook Gateway Ultra Slim Laptop, 14,1 polegadas IPS FHD, Intel Core i3-1005G1 até 3,4 GHz, 20 GB RAM, 1 TB SSD, USB-C, leitor FP, webcam, HDMI, cabo HDMI Mytix, Win 10 S, verde;6254.41;0.0;Amazon;Notebook;i3
"Notebook 2 em 1 Dell Inspiron 5406-M10S 14"" Touch 11ª Geração Intel Core i3 4GB 128GB SSD Windows 10 McAfee";4399.0;1.0;Amazon;Notebook;i3
"Notebook Gateway Ultra Slim Laptop, 14,1"" IPS FHD, Intel Core i3-1005G1 até 3.4GHz, 4GB de RAM, SSD de 128 GB, USB-C, FP Reader, Webcam, HDMI, Mytix cabo HDMI, Win 10 S, Verde";4741.24;0.0;Amazon;Notebook;i3
Notebook Gateway Ultra Slim Laptop, 14,1 polegadas IPS FHD, Intel Core i3-1005G1 até 3,4 GHz, 8 GB de RAM, 256 GB SSD, USB-C, leitor FP, webcam, HDMI, hub USB Mytix, Win 10 S, verde;5067.03;0.0;Amazon;Notebook;i3
Notebook Gateway ultrafino para laptop, 14,1 polegadas IPS FHD, Intel Core i3-1005G1 até 3,4 GHz, 8 GB de RAM, 512 GB SSD, USB-C, leitor FP, webcam, HDMI, cabo HDMI Mytix, Win 10 S, verde;5415.05;0.0;Amazon;Notebook;i3
Notebook Gateway Ultra Slim Laptop, 14,1 polegadas IPS FHD, Intel Core i3-1005G1 até 3,4 GHz, 12 GB RAM, 256 GB SSD, USB-C, leitor FP, webcam, HDMI, hub USB Mytix, Win 10 S, preto;5036.32;0.0;Amazon;Notebook;i3
Notebook Gateway ultrafino para laptop, 14,1 polegadas IPS FHD, Intel Core i3-1005G1 até 3,4 GHz, 20 GB RAM, 512 GB SSD, USB-C, leitor FP, webcam, HDMI, cabo HDMI Mytix, Win 10 S, preto;5805.8;0.0;Amazon;Notebook;i3
"Notebook Gateway Ultra Slim Laptop, 14,1"" IPS FHD, Intel Core i3-1005G1 até 3.4GHz, 8GB de RAM, 512GB SSD, USB-C, FP Reader, Webcam, HDMI, Ethernet Mytix USB Hub, Win 10 S, Verde";5507.18;0.0;Amazon;Notebook;i3
"Notebook Positivo Motion I341TB Intel® Core™ i3 Windows 10 Home 14"" - Cinza";2299.98;3.0;Amazon;Notebook;i3
"Notebook Hp 256-g8, Core i3, 4gb, 128gb Ssd, Tela de 15"" - 4a8p7la";3249.0;0.0;Amazon;Notebook;i3
