;Descrição;Preço;TotalReviews;Loja;Categoria;Armazenamento
290;Smartphone Multilaser F Pro 4G 16GB Android 9 Preto - P9118;517.11;61.0;Amazon;Smartphone;16gb
297;Smartphone Nokia C2 16GB + 16GB Cartão de Memória 1GB RAM Tela de 5,7 Pol. HD+ Câmera Traseira 5MP + Flash Frontal Verde Ciano NK011;718.9;36.0;Amazon;Smartphone;16gb
421;Telefone, Smartphone, 2GB + 16GB 5MP + 2MP Câmera 3G Cartão SIM para presente Android(verde);698.39;0.0;Amazon;Smartphone;16gb
438;Telefone, Smartphone, 2GB + 16GB 5MP + 2MP Câmera 3G Cartão SIM para presente Android(Branco);698.69;0.0;Amazon;Smartphone;16gb
449;Telefone, Smartphone, 2GB + 16GB 5MP + 2MP Câmera 3G Cartão SIM para presente Android(azul);699.29;0.0;Amazon;Smartphone;16gb
464;Telefone, Smartphone, 2GB + 16GB 5MP + 2MP Câmera 3G Cartão SIM para presente Android(Preto);698.39;0.0;Amazon;Smartphone;16gb
1411;"Smartphone Samsung Galaxy J4 Core 16GB Nano Chip Android Tela 6"" Quad-Core 1.4GHz 4G Câmera 8MP - Cobre";1299.0;369.0;Americanas;Smartphone;16gb
1448;"Smartphone LG K8+ 16GB Dual Chip Android 7.0 Pie Tela 5.4"" 4G Câmera 8MP - Azul";749.0;66.0;Americanas;Smartphone;16gb
1468;"Smartphone Samsung Galaxy J2 Core 16GB Dual Chip Android Go 8.1 Tela 5"" Quad-Core 4G Câmera 8MP - Violeta";1500.0;38.0;Americanas;Smartphone;16gb
1481;"Smartphone LG K8+ 16GB Dual Chip Android 7.0 Pie Tela 5.4"" 4G Câmera 8MP - Preto";899.0;75.0;Americanas;Smartphone;16gb
1483;"Smartphone LG K8 Dual Chip Android Tela 5"" Quadcore 16GB 4G Wi-Fi Câmera 13MP - Indigo";1049.4;23.0;Americanas;Smartphone;16gb
2542;"Smartphone TCL L5, Preto, Tela de 5"", 4G+Wi-Fi, Android 8, Câm. Tras. de 8MP, Frontal de 5MP, 16GB";909.0;0.0;Casas Bahia;Smartphone;16gb
2552;Smartphone Multilaser E Lite P9099 Preto com 16GB, Tela 4”, Android 8.1, Dual Chip, Câmera 5MP, 3G, Bluetooth e Processador Quad core;399.0;1.0;Casas Bahia;Smartphone;16gb
2636;Smartphone Multilaser F Pro 4G 16GB + 1GB RAM Android 9 Dual Chip Preto - P9118;1769.0;0.0;Casas Bahia;Smartphone;16gb
3591;Smartphone Nokia C2 16GB + 16GB Preto 4G 1GB RAM;539.1;10.0;Magazine Luiza;Smartphone;16gb
246;Smartphone LG K41S 32GB, RAM de 3GB, Tela de 6,5” V- Notch, Câmera Quádrupla e Processador Octa-Core 2.0, Titanium;799.0;1371.0;Amazon;Smartphone;32gb
258;Smartphone Xiaomi Redmi 9a 32gb 2gb Ram 4 Câmeras Azul;829.0;96.0;Amazon;Smartphone;32gb
261;Smartphone LG K22 , 2GB/32GB, Tela de 6, Câmera Dupla 13Mp+2Mp, Selfie de 5Mp, Processador Qualcomm QM215 , Bateria 3,000mAh , Titanium;889.0;703.0;Amazon;Smartphone;32gb
271;Smartphone Motorola Moto E6i 32GB Cinza - 4G 2GB RAM Tela 6,1” Câm. Dupla + Selfie 5MP;749.0;5.0;Amazon;Smartphone;32gb
276;"Celular Xiaomi Redmi 9A Versão Global 32gb / 2gb Ram/Tela 6.53"" - Preto";829.0;869.0;Amazon;Smartphone;32gb
278;"Celular Motorola Moto E6s Cinza Titanium 32gb Tela 6.1"" 2gb Ram Câmera Dupla 13mp + 2mp";729.88;76.0;Amazon;Smartphone;32gb
283;Smartphone Xiaomi Redmi 9A 2/32GB - Azul;849.99;1632.0;Amazon;Smartphone;32gb
295;"Smartphone Samsung Galaxy A01 Core 32GB 2GB RAM Tela Infinita de 5.3"" Preto";789.0;29.0;Amazon;Smartphone;32gb
298;"Smartphone Samsung Galaxy A01 Core 32GB Tela 5.3"" Camera 8MP Preto";899.97;106.0;Amazon;Smartphone;32gb
306;SMARTPHONE XIAOMI REDMI 9A 2RAM 32GB AZUL;850.0;332.0;Amazon;Smartphone;32gb
331;Smartphone Positivo Twist 3 Fit S509C 32GB Dual Chip 5” - Dourado;524.9;543.0;Amazon;Smartphone;32gb
334;Smartphone Multilaser G Pro 2 32GB + 2GB RAM 4G Tela 6,5 Câmera Tripla + 8 MP para selfies Processador Octa Core Preto - P9125;675.0;11.0;Amazon;Smartphone;32gb
336;Smartphone Motorola Moto E6i 32GB Pink - 4G 2GB RAM Tela 6,1” Câm. Dupla + Selfie 5MP;719.0;23.0;Amazon;Smartphone;32gb
338;Smartphone Samsung Galaxy A02 32GB 13MP 6.5 Quad Core Preto;886.38;14.0;Amazon;Smartphone;32gb
342;"Smartphone Positivo Twist 4G S509 32GB Dual Chip 5"" - Vermelho";589.0;3.0;Amazon;Smartphone;32gb
344;Smartphone Realme C11 32GB 4G Wi-Fi Tela 6.5'' Cinza;685.0;0.0;Amazon;Smartphone;32gb
358;Kit Celular Obabox - Obasmart 3 Dourado 32GB + Fone + Película + Capinha;947.5;9.0;Amazon;Smartphone;32gb
359;Kit Obasmart 3 32gb Fone + Capinha + Película - Smartphone com letras grandes Original Obabox;997.5;0.0;Amazon;Smartphone;32gb
360;"Smartphone Samsung Galaxy A01 32GB Tela 5.7"" Camera 13MP Azul";859.9;90.0;Amazon;Smartphone;32gb
363;"Smartphone Samsung Galaxy A10s Dual Chip Android Tela 6,2"" Octa-Core 2GHz 32GB 4G Câmera 13MP + 2MP - Preto Absurdo";1099.0;0.0;Amazon;Smartphone;32gb
365;"CELULAR SMARTPHONE MULTI G 4G 32GB TELA 5.5"" OCTA CORE SENSOR DE DIGITAIS Multilaser P9133 DOURADO";698.9;3.0;Amazon;Smartphone;32gb
375;Smartphone Multilaser G Max 4G 32GB Tela 6.0 Pol. Octa Core Android 9.0 GO Preto - P9107;538.0;34.0;Amazon;Smartphone;32gb
378;Smartphone Multilaser G Max 4G 32GB Tela 6.0 Pol. Octa Core Android 9.0 GO Dourado - P9108;872.39;27.0;Amazon;Smartphone;32gb
379;Celular para idoso original Obabox Obasmart 3 Dourado 32gb Fone + Capinha + Película;947.5;2.0;Amazon;Smartphone;32gb
