;Loja;Armazenamento;Preço médio
0;Amazon;16gb;671.795
1;Amazon;32gb;856.4890566037735
2;Amazon;64gb;1241.1148275862067
3;Americanas;16gb;1099.28
4;Americanas;32gb;1002.8083636363638
5;Americanas;64gb;1269.9731343283584
6;Casas Bahia;16gb;1025.6666666666667
7;Casas Bahia;32gb;1598.2218518518514
8;Casas Bahia;64gb;2098.5176249999995
9;Magazine Luiza;16gb;539.1
10;Magazine Luiza;32gb;772.3969811320754
11;Magazine Luiza;64gb;1327.7141891891895
12;Submarino;32gb;775.9666666666668
13;Submarino;64gb;2312.5611111111107
