Descrição;Preço;TotalReviews;Loja;Categoria
Smartphone Motorola Moto G10 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 8MP - Cinza Aurora;R$ 1.058,00;14;Submarino;Smartphone
"iPhone XR Apple (64GB) Branco Tela 6,1"" 4G Câmera Traseira 12MP iOS";R$ 3.399,00;43;Submarino;Smartphone
Smartphone Samsung Galaxy A32 128GB 4G Wi-Fi Tela 6.4'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 20MP - Violeta;R$ 1.479,00;11;Submarino;Smartphone
"iPhone 11 Apple (64GB) Branco Tela 6,1"" 4G Câmera 12MP iOS";R$ 4.249,00;48;Submarino;Smartphone
Smartphone Samsung Galaxy S20 Fe 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 6GB RAM Câmera Tripla + Selfie 32MP - Cloud Navy;R$ 2.249,00;31;Submarino;Smartphone
Smartphone Motorola Moto G30 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Dark Prism;R$ 1.000,00;24;Submarino;Smartphone
Smartphone Samsung Galaxy S20 Fe 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 6GB RAM Câmera Tripla + Selfie 32MP - Cloud White;R$ 2.249,00;17;Submarino;Smartphone
Smartphone Samsung Galaxy M62 128GB 8GB RAM Bateria de 7.000mAh Tela 6.7'' 4G Câmera Quádrupla + Selfie 32MP - Preto;R$ 1.899,00;10;Submarino;Smartphone
"iPhone 11 Apple (64GB) Preto Tela 6,1"" 4G Câmera 12MP iOS";R$ 3.990,00;65;Submarino;Smartphone
"iPhone 11 Apple (128GB) Preto tela 6,1"" Câmera 12MP iOS";R$ 4.849,00;29;Submarino;Smartphone
Smartphone Motorola Moto G10 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 8MP - Branco Floral;R$ 1.078,00;7;Submarino;Smartphone
Smartphone Samsung Galaxy M12 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 8MP - Preto;R$ 892,05;5;Submarino;Smartphone
Smartphone Samsung Galaxy M62 128GB 8GB RAM Bateria de 7.000mAh Tela 6.7'' 4G Câmera Quádrupla + Selfie 32MP - Azul;R$ 1.899,00;5;Submarino;Smartphone
Smartphone Motorola Moto E7 Power 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Azul Metálico;R$ 749,00;7;Submarino;Smartphone
